date,bv,data,txtype
2018-12-31T22:16:00Z,12.94,42978,1
2018-12-31T22:21:00Z,12.94,42977,1
2018-12-31T22:26:00Z,12.94,42977,1
2018-12-31T22:31:00Z,12.94,42976,1
2018-12-31T22:36:00Z,12.94,42976,1
2018-12-31T22:41:00Z,12.94,42976,1
2018-12-31T22:46:00Z,12.94,42975,1
2018-12-31T22:51:00Z,12.94,42975,1
2018-12-31T22:56:00Z,12.94,42974,1
2018-12-31T23:01:00Z,12.94,42974,1
2018-12-31T23:06:00Z,12.94,42974,1
2018-12-31T23:11:00Z,12.94,42973,1
2018-12-31T23:16:00Z,12.94,42973,1
2018-12-31T23:16:00Z,12.706,42973,1
2018-12-31T23:21:00Z,12.94,42972,1
2018-12-31T23:21:00Z,12.706,42972,1
2018-12-31T23:26:00Z,12.706,42972,1
2018-12-31T23:26:00Z,12.94,42972,1
2018-12-31T23:31:00Z,12.94,42971,1
2018-12-31T23:31:00Z,12.706,42971,1
2018-12-31T23:36:00Z,12.706,42971,1
2018-12-31T23:36:00Z,12.94,42971,1
2018-12-31T23:41:00Z,12.94,42971,1
2018-12-31T23:41:00Z,12.706,42971,1
2018-12-31T23:46:00Z,12.94,42970,1
2018-12-31T23:46:00Z,12.706,42970,1
2018-12-31T23:51:00Z,12.94,42970,1
2018-12-31T23:51:00Z,12.706,42970,1
2018-12-31T23:56:00Z,12.94,42970,1
2018-12-31T23:56:00Z,12.706,42970,1
2019-01-01T00:00:00Z,12.706,42970,6
2019-01-01T00:01:00Z,12.706,42970,1
2019-01-01T00:01:00Z,12.94,42970,1
2019-01-01T00:06:00Z,12.706,42969,1
2019-01-01T00:06:00Z,12.94,42969,1
2019-01-01T00:07:00Z,12.706,42969,6
2019-01-01T00:11:00Z,12.706,42969,1
2019-01-01T00:11:00Z,12.94,42969,1
2019-01-01T00:13:00Z,12.94,42968,6
2019-01-01T00:16:00Z,13.174,42968,1
2019-01-01T00:16:00Z,12.706,42968,1
2019-01-01T00:19:00Z,13.174,42967,6
2019-01-01T00:21:00Z,12.706,42967,1
2019-01-01T00:21:00Z,13.174,42967,1
2019-01-01T00:26:00Z,12.706,42967,1
2019-01-01T00:26:00Z,13.174,42967,1
2019-01-01T00:26:00Z,12.706,42967,6
2019-01-01T00:31:00Z,12.706,42966,1
2019-01-01T00:31:00Z,13.174,42966,1
2019-01-01T00:32:00Z,12.706,42966,6
2019-01-01T00:36:00Z,12.706,42966,1
2019-01-01T00:36:00Z,13.174,42966,1
2019-01-01T00:38:00Z,12.706,42965,6
2019-01-01T00:41:00Z,12.706,42965,1
2019-01-01T00:41:00Z,13.174,42965,1
2019-01-01T00:45:00Z,12.706,42965,6
2019-01-01T00:46:00Z,12.706,42965,1
2019-01-01T00:46:00Z,13.174,42965,1
2019-01-01T00:51:00Z,13.174,42965,1
2019-01-01T00:51:00Z,12.706,42965,1
2019-01-01T00:51:00Z,12.94,42965,6
2019-01-01T00:56:00Z,13.174,42965,1
2019-01-01T00:56:00Z,12.706,42965,1
2019-01-01T00:58:00Z,12.94,42965,6
2019-01-01T01:01:00Z,12.706,42965,1
2019-01-01T01:01:00Z,13.174,42965,1
2019-01-01T01:04:00Z,12.706,42965,6
2019-01-01T01:06:00Z,12.706,42965,1
2019-01-01T01:06:00Z,13.174,42965,1
2019-01-01T01:11:00Z,12.706,42965,1
2019-01-01T01:11:00Z,13.174,42965,1
2019-01-01T01:12:00Z,12.94,42965,6
2019-01-01T01:16:00Z,12.706,42965,1
2019-01-01T01:16:00Z,13.174,42965,1
2019-01-01T01:17:00Z,12.706,42964,6
2019-01-01T01:21:00Z,12.706,42964,1
2019-01-01T01:21:00Z,13.174,42964,1
2019-01-01T01:24:00Z,13.174,42964,6
2019-01-01T01:26:00Z,12.706,42964,1
2019-01-01T01:26:00Z,13.174,42964,1
2019-01-01T01:30:00Z,13.408,42964,6
2019-01-01T01:31:00Z,12.706,42964,1
2019-01-01T01:31:00Z,13.174,42964,1
2019-01-01T01:36:00Z,13.174,42963,1
2019-01-01T01:36:00Z,12.706,42963,1
2019-01-01T01:37:00Z,12.94,42963,6
2019-01-01T01:41:00Z,13.174,42963,1
2019-01-01T01:41:00Z,12.706,42963,1
2019-01-01T01:44:00Z,13.408,42962,6
2019-01-01T01:46:00Z,13.174,42962,1
2019-01-01T01:46:00Z,12.706,42962,1
2019-01-01T01:50:00Z,13.174,42962,6
2019-01-01T01:51:00Z,13.174,42962,1
2019-01-01T01:51:00Z,12.706,42962,1
2019-01-01T01:56:00Z,12.706,42961,1
2019-01-01T01:56:00Z,13.174,42961,1
2019-01-01T01:57:00Z,12.706,42961,6
2019-01-01T02:01:00Z,12.706,42961,1
2019-01-01T02:01:00Z,13.174,42961,1
