Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
,0,0,537,0.012826654411581,1,-159.449568999999997,21.909064000000001,-159.462205699999998,21.906864710000001,-170.127138266337681
,0,0,553,0.027301683242797,2,-159.449568999999997,21.909064000000001,-159.476799999999997,21.907100700000001,-175.876225642271038
,0,0,540,0.028517207251509,3,-159.449568999999997,21.909064000000001,-159.422206999999986,21.901029569999999,-16.364064138410697
,0,0,538,0.030346120954747,4,-159.449568999999997,21.909064000000001,-159.451799999999992,21.878799999999998,-94.216101135370792
,0,0,539,0.033359877952412,5,-159.449568999999997,21.909064000000001,-159.429000000000002,21.882800000000000,-51.933257365976523
,0,0,554,0.042936818664169,6,-159.449568999999997,21.909064000000001,-159.466939999999994,21.948329999999999,113.864258753453200
,0,0,536,0.044137450039622,7,-159.449568999999997,21.909064000000001,-159.489632999999998,21.890543999999998,-155.190769483583182
,0,0,534,0.044471563387897,8,-159.449568999999997,21.909064000000001,-159.493872199999998,21.905197940000001,-175.012793281229420
,0,0,535,0.053996239285717,9,-159.449568999999997,21.909064000000001,-159.502600000000001,21.898900000000001,-169.150181958004822
,0,0,555,0.059008688118824,10,-159.449568999999997,21.909064000000001,-159.430537399999992,21.964919380000001,71.184486596138740
,0,0,552,0.065527992926677,11,-159.449568999999997,21.909064000000001,-159.514999999999986,21.905500000000000,-176.882203155874492
,0,0,551,0.068548844315575,12,-159.449568999999997,21.909064000000001,-159.518100000000004,21.907499999999999,-178.692634769641501
,0,0,533,0.070219697555997,13,-159.449568999999997,21.909064000000001,-159.517206700000003,21.890197430000001,-164.414315164238957
,0,0,556,0.076562450973901,14,-159.449568999999997,21.909064000000001,-159.397205200000002,21.964919540000000,46.848029966391977
,0,0,550,0.077483504957896,15,-159.449568999999997,21.909064000000001,-159.526499999999999,21.918300599999998,173.153643737780556
,0,0,549,0.085832777562488,16,-159.449568999999997,21.909064000000001,-159.533871699999992,21.925198450000000,169.165346095596249
,0,0,548,0.089606726442119,17,-159.449568999999997,21.909064000000001,-159.525536499999987,21.956585619999998,147.971880074121430
,0,0,557,0.102250955458846,18,-159.449568999999997,21.909064000000001,-159.368872600000003,21.971860090000000,37.889236331910155
,0,0,532,0.108391766836829,19,-159.449568999999997,21.909064000000001,-159.557207900000009,21.896310870000001,-173.243056873679819
,0,0,560,0.123302841236527,20,-159.449568999999997,21.909064000000001,-159.358599999999996,21.992300000000000,42.458295768399587
,0,0,531,0.127759522003524,21,-159.449568999999997,21.909064000000001,-159.577208799999994,21.903534359999998,-177.519370527120799
,0,0,558,0.129552568238427,22,-159.449568999999997,21.909064000000001,-159.342206299999987,21.981569990000001,34.032607755739036
,0,0,576,0.130775328930956,23,-159.449568999999997,21.909064000000001,-159.387000000000000,22.023900000000001,61.416009659870866
,0,0,572,0.130959067770965,24,-159.449568999999997,21.909064000000001,-159.386799999999994,22.024000200000000,61.360147181271827
,0,0,559,0.136094312360952,25,-159.449568999999997,21.909064000000001,-159.337999999999994,21.986999999999998,34.936043392912055
,0,0,547,0.139750694070735,26,-159.449568999999997,21.909064000000001,-159.586600000000004,21.936500500000001,168.677886198437847
,0,0,530,0.152296295423653,27,-159.449568999999997,21.909064000000001,-159.601099699999992,21.893812489999998,-174.252556289844222
,0,0,571,0.154506131807899,28,-159.449568999999997,21.909064000000001,-159.467722199999997,22.062500000000000,96.747367909076573
,0,0,574,0.155685445414854,29,-159.449568999999997,21.909064000000001,-159.400535800000000,22.056826319999999,71.642177890850050
,0,0,575,0.165762354764282,30,-159.449568999999997,21.909064000000001,-159.396199999999993,22.065999999999999,71.218445544712196
,0,0,573,0.165920739511493,31,-159.449568999999997,21.909064000000001,-159.395999999999987,22.066099200000000,71.164087972722882
,0,0,578,0.167954189516701,32,-159.449568999999997,21.909064000000001,-159.340537899999987,22.036816999999999,49.520822340824417
,0,0,570,0.168908746942694,33,-159.449568999999997,21.909064000000001,-159.497972199999992,22.070888889999999,106.652371067547193
,0,0,577,0.172402933435014,34,-159.449568999999997,21.909064000000001,-159.365000000000009,22.059300000000000,60.624505007133990
,0,0,581,0.174984264965062,35,-159.449568999999997,21.909064000000001,-159.395888899999989,22.075611110000001,72.135256012813102
,0,0,546,0.177925032107574,36,-159.449568999999997,21.909064000000001,-159.627211299999999,21.919090480000001,176.769541282100704
,0,0,580,0.178579473784080,37,-159.449568999999997,21.909064000000001,-159.376700000000000,22.072099999999999,65.917726925846935
,0,0,579,0.178711581765143,38,-159.449568999999997,21.909064000000001,-159.376599999999996,22.072199999999999,65.901539193284293
,0,0,595,0.187764623550332,39,-159.449568999999997,21.909064000000001,-159.378600000000006,22.082899999999999,67.792133767556948
,0,0,569,0.188084332637368,40,-159.449568999999997,21.909064000000001,-159.536111099999999,22.076055560000000,117.395103976788832
,0,0,593,0.190584021515440,41,-159.449568999999997,21.909064000000001,-159.365900000000011,22.080300000000001,63.959030570111103
,0,0,594,0.190632348401316,42,-159.449568999999997,21.909064000000001,-159.366199999999992,22.080500000000001,64.066433529600133
,0,0,592,0.198734497903608,43,-159.449568999999997,21.909064000000001,-159.375799999999998,22.093599999999999,68.210743310325654
,0,0,591,0.203359496178463,44,-159.449568999999997,21.909064000000001,-159.385600000000011,22.102100400000001,71.665676243912316
,0,1,612,0.018937346932125,1,-159.374046999999990,22.199978000000002,-159.377757599999995,22.181407740000001,-101.299691114411161
