id,Name,lat,lon,Res_ID,level_alert_on,level_alert_off,,,,
USGS_16208400,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.4973611,-157.9807222,OA-0025,10,9,,,,
USGS_16094150,"Ka Loko Reservoir near Kilauea, Kauai, HI",22.17897222,-159.3790556,KA-0030,10,9,,,,
USGS_16210000,"Wahiawa Reservoir at Spillway at Wahiawa, Oahu, HI",21.49647222,-158.0497778,OA-0017,10,9,,,,
USGS_213320158061401,"Kemoo 5 Reservoir, Oahu, HI",21.55547222,-158.1039167,OA-0021,10,9,,,,
USGS_213133158014201,"Upper Helemano Reservoir near Wahiawa, Oahu, HI",21.52591667,-158.0284167,OA-0022,10,9,,,,
USGS_213308158035601,"Helemano 6 Reservoir, Oahu, HI","	21.5523611",-158.0655833,OA-0023,10,9,,,,
USGS_16206600,"Reservoir near Wahiawa, Oahu, HI",21.49205556,-157.9701944,OA-0156,10,9,,,,
EDD00214,Waita,21.9091,-159.4496,KA-0099,17,19,,,,
EDD00CC6,Waiakalua,22.2,-159.374,KA-0010,11,12,,,,
EDD01162,HC&S #24,20.8873,-156.3559,MA-0073,21,22,,,,
EDD024F8,Nuuanu No 1,21.3391,-157.8368,OA-0154,393,394,,,,
EDD02A2A,Opaeula 01,21.5708,-158.0277,OA-0018,980.4,981.4,,,,
EDD0378E,Kapaia,22.017,-159.3963,KA-0012,44,45,,,,
EDD0395C,Wailua,22.0635,-159.4006,KA-0060,29.5,30.5,,,,
EDD0411E,Aepo,21.9128,-159.4936,KA-0103,48,49,,,,
EDD04FCC,Huinawai,21.922,-159.4972,KA-0104,27,28,,,,
EDD05268,Aepoeha,21.8967,-159.4882,KA-0112,33,34,,,,
EDD05CBA,Elua,21.9278,-159.5283,KA-0117,21,22,,,,
EDD067F2,Kalihiwai,22.1866,-159.431,KA-0024,9.5,10.5,,,,
EDD06920,Mauka,21.9414,-159.4686,KA-0119,7,8,,,,
EDD07484,Okinawa,22.0062,-159.3647,KA-0014,6.5,7,,,,
EDD07A56,Alexander,21.9564,-159.5258,KA-0098,99,100,,,,
EDD08400,Halenanahu,21.9656,-159.4328,KA-0121,20,21,,,,
EDD08AD2,Papuaa,21.9727,-159.4613,KA-0120,37,38,,,,
EDD099A4,Kaneohe,21.3905,-157.8049,OA-0124,166.3,166.8,,,,
EDD0A2EC,Nuuanu No 4,21.3536,-157.807,OA-0001,30,33,,,,
EDD0AC3E,Kaneha,22.1316,-159.3713,KA-0015,30,30.5,,,,
EDD0B19A,Mimino,22.1154,-159.3623,KA-0016,31.5,32,,,,
EDD0BF48,Kapalaalea ,20.9133,-156.2578,MA-0094,19,20,,,,
EDD0C70A,Haiku ,20.9197,-156.3268,MA-0095,19,20,,,,
EDD0C9D8,Pauwela,20.9193,-156.323,MA-0096,26,27,,,,
EDD0D47C,#15,20.9049,-156.3475,MA-0069,29,30,,,,
EDD0DAAE,#14,20.9107,-156.3487,MA-0068,17,18,,,,
EDD11398,Test,21.2976,-157.8155,OA-0000,19,20,,,,
