SKN,LAT,LON,Station.Name,UID
2.1_R,19.1089,-155.7467,KAHUKU MAUKA,19.108900_-155.746700
2.32_R,19.10778,-155.78944,SOUTH KONA 2 2.32,19.107780_-155.789440
2.34_R,19.186302,-155.886763,MILOLII 2.34,19.186302_-155.886763
2.36_R,19.14472,-155.84944,KAPUA 2.36,19.144720_-155.849440
3.22_R,19.135,-155.747,HAWAIIAN OCEAN VIEW 4.7 NNE,19.135000_-155.747000
3.23_R,19.4594,-155.8938,CAPTAIN COOK 2.9 SSE,19.459400_-155.893800
3.9_R,19.10083333,-155.6697222,LOWER KAHUKU CS,19.100833_-155.669722
4.12_R,19.0424,-155.6354,NAALEHU 4.6 WSW,19.042400_-155.635400
4.13_R,19.0424,-155.643,NAALEHU 5.0 WSW,19.042400_-155.643000
4.14_R,19.0421,-155.6371,"NAALEHU 4.7 WSW, HI US",19.042100_-155.637100
5.1_R,19.01361,-155.66194,Kamaoa Puueo 5.1,19.013610_-155.661940
6.0_R,19.07032619,-155.6355484,KIOLAKAA A&F 6,19.070326_-155.635548
6.2_R,19.0732,-155.6632,NAALEHU 5.7 W,19.073200_-155.663200
9.2_R,19.34805556,-155.1258333,Nene Cabin,19.348056_-155.125833
12.15_R,19.13310292,-155.5152744,SEA MOUNTAIN 12.15,19.133103_-155.515274
14.0_R,19.06032754,-155.5855501,NAALEHU 14,19.060328_-155.585550
21.0_R,19.2042999,-155.4872,Pahala,19.204300_-155.487200
21.3_R,19.20667,-155.48861,PAHALA MAUKA 21.3,19.206670_-155.488610
21.4_R,19.0908,-155.7552,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.090800_-155.755200
23.0_R,19.23222222,-155.78,KAHUKU,19.232222_-155.780000
24.1_R,19.27032215,-155.8738768,OPIHIHALE 2 24.1,19.270322_-155.873877
26.2_R,19.48975723,-155.9122125,KEALAKEKUA 26.2,19.489757_-155.912213
27.0_R,19.4403158,-155.8788789,HONAUNAU 27,19.440316_-155.878879
27.6_R,19.4629002,-155.8824,Honaunau No. 2,19.462900_-155.882400
28.0_R,19.46864784,-155.9055458,NAPOOPOO 28,19.468648_-155.905546
29.12_R,19.5181007,-155.9159,Kealakekua,19.518101_-155.915900
34.0_R,19.2754993,-155.4514,Kapapala Ranch,19.275499_-155.451400
36.3_R,19.25811,-155.441781,KAPAPALA RANCH,19.258110_-155.441781
38.9_R,19.29277778,-155.1075,KAELAKOMO,19.292778_-155.107500
39.0_R,19.5362,-155.5763,Mauna Loa Observatory,19.536200_-155.576300
39.1_R,19.53863295,-155.5722206,Mauna Loa Upper,19.538633_-155.572221
39.2_R,19.5354,-155.576,MAUNA LOA 5 NNE,19.535400_-155.576000
43.3_R,20.025,-155.8211111,PUHE CS,20.025000_-155.821111
48.0_R,19.3175,-155.2922222,PALI 2,19.317500_-155.292222
49.0_R,19.47361111,-155.3588889,KEAUMO,19.473611_-155.358889
54.0_R,19.429741,-155.257146,HAWAII VOLCNS NP HQ 54,19.429741_-155.257146
54.2_R,19.5076008,-155.1707,Glenwood,19.507601_-155.170700
54.8_R,19.41528,-155.23833,Thurston,19.415280_-155.238330
54.9_R,19.47833,-155.215,Ola a,19.478330_-155.215000
55.3_R,19.4338,-155.2417,VOLCANO 4.4 S,19.433800_-155.241700
55.4_R,19.52194,-155.14389,GLENWOOD NO 2 55.4,19.521940_-155.143890
63.0_R,19.67277778,-156.0202778,KALOKO-HONOKOHAU,19.672778_-156.020278
65.4_R,19.5043,-154.9165,PAHOA 2.1 E,19.504300_-154.916500
