SKN,LAT,LON,Station.Name,UID
65.6_R,19.5021,-155.029,"KURTISTOWN 6.6 SSE, HI US",19.502100_-155.029000
67.14_R,19.4573,-154.9338,"PAHOA 3.0 SSE, HI US",19.457300_-154.933800
67.7_R,19.4654,-154.927,PAHOA 2.7 SSE,19.465400_-154.927000
68.14_R,19.67944,-156.02333,HONOKOHAU HARBOR 68.14,19.679440_-156.023330
68.21_R,19.73556,-156.04889,KAILUA KONA KE AHOLE AIRPORT,19.735560_-156.048890
68.22_R,19.6799,-155.9699,HOLUALOA 4.0 NW,19.679900_-155.969900
69.25_R,19.73756,-155.99582,Palamanui,19.737560_-155.995820
69.26_R,19.7189,-155.9859,KALAOA 2.2 ESE,19.718900_-155.985900
69.27_R,19.7238,-155.9926,KALAOA 1.7,19.723800_-155.992600
70.16_R,19.6331997,-155.9486,Waiaha Stream,19.633200_-155.948600
70.7_R,19.72544,-155.87389,Puuwaawaa,19.725440_-155.873890
73.29_R,19.5310993,-155.9066,Kainaliu Upper,19.531099_-155.906600
73.34_R,19.53333333,-155.9333333,Kainaliu,19.533333_-155.933333
74.8_R,19.5106,-155.9217,KEALAKEKUA 4 74.8,19.510600_-155.921700
75.1_R,19.66694444,-155.7077778,PTA KIPUKA ALALA,19.666944_-155.707778
79.0_R,19.54863532,-155.3005575,KULANI CAMP 79,19.548635_-155.300557
79.6_R,19.5543995,-155.3089,Kulani NWR,19.554399_-155.308900
83.0_R,19.68586111,-155.2942222,QuarryRainGageatSaddleRd,19.685861_-155.294222
85.2_R,19.6585999,-155.1277,Waiakea Uka,19.658600_-155.127700
87.0_R,19.7191,-155.053,HILO INTERNATIONAL AIRPORT 87,19.719100_-155.053000
87.5_R,19.645,-155.0827,HILO 5 S,19.645000_-155.082700
87.8_R,19.692,-155.0925,HILO 0.4 SW,19.692000_-155.092500
87.9_R,19.69748,-155.0954,IPIF,19.697480_-155.095400
88.1_R,19.68362898,-155.1405634,KAUMANA 88.1,19.683629_-155.140563
88.2_R,19.65529741,-155.1205634,WAIAKEA SCD 88.2,19.655297_-155.120563
89.11_R,19.7098007,-155.1395,Piihonua,19.709801_-155.139500
89.13_R,19.7509,-155.1362,"KAIWIKI HOMESTEAD 89.11, HI US",19.750900_-155.136200
89.2_R,19.73529295,-155.1455638,AMAUULU 89.2,19.735293_-155.145564
91.0_R,19.5487,-155.1101,MOUNTAIN VIEW 91,19.548700_-155.110100
91.11_R,19.61861,-155.08667,PUNA MACADAMIA O 91.11,19.618610_-155.086670
91.12_R,19.533,-154.917,HAWAIIAN BEACHES 91.12,19.533000_-154.917000
91.14_R,19.59,-155.083,KURTISTOWN 91.14,19.590000_-155.083000
91.15_R,19.5674992,-155.0841,Mountain View,19.567499_-155.084100
91.16_R,19.5808,-155.1216,"MOUNTAIN VIEW 4.5 NNE, HI US",19.580800_-155.121600
91.17_R,19.5407,-154.9728,"PAHOA BEACON 91.9, HI US",19.540700_-154.972800
91.6_R,19.5145,-155.0206,KURTISTOWN 6.1 SSE,19.514500_-155.020600
91.8_R,19.488,-155.149,S GLEWNWOOD 91.8,19.488000_-155.149000
91.9_R,19.5149994,-154.9644,Pahoa Beacon,19.514999_-154.964400
92.0_R,19.62918887,-155.0333418,KEAAU 92,19.629189_-155.033342
92.5_R,19.82580556,-155.8925833,KiholoRainGage,19.825806_-155.892583
93.11_R,19.48892483,-154.8200037,KAPOHO BEACH 93.11,19.488925_-154.820004
93.12_R,19.83277778,-155.7697222,PUUANAHULU,19.832778_-155.769722
93.13_R,19.80256,-155.85062,Mamalahoa,19.802560_-155.850620
93.61_R,19.5473,-154.8988,"PAHOA 4.7 NE, HI US",19.547300_-154.898800
94.0_R,19.80333333,-155.9180556,KAUPULEHU LAVA FLOW,19.803333_-155.918056
94.5_R,19.795,-155.8452778,PUU WAAWAA,19.795000_-155.845278
95.11_R,19.9465,-155.7883,WAIKOLOA VILLAGE 2.7 ENE,19.946500_-155.788300
95.6_R,19.92416667,-155.7936111,WAIKOLOA,19.924167_-155.793611
95.8_R,19.93389178,-155.7877744,WAIKOLOA 95.8,19.933892_-155.787774
95.9_R,19.91278,-155.87778,WAIKOLOA BEACH RT 95.9,19.912780_-155.877780
98.1_R,20.02666416,-155.81944,PUUKOHOLA HEIAU 98.1,20.026664_-155.819440
98.2_R,19.42194444,-155.9075,PUHO CS,19.421944_-155.907500
99.0_R,19.77166667,-155.7022222,PTA WEST,19.771667_-155.702222
100.0_R,19.82,-155.6508,Waikii,19.820000_-155.650800
101.1_R,19.90222222,-155.6786111,PTA KEAMUKU,19.902222_-155.678611
102.8_R,19.83638889,-155.6130556,AUHMOA,19.836389_-155.613056
103.3_R,19.96,-155.54,Mana House,19.960000_-155.540000
104.1_R,19.77,-155.42,Silversword,19.770000_-155.420000
107.4_R,19.68277778,-155.5452778,PTA EAST,19.682778_-155.545278
109.0_R,19.74583333,-155.6261111,PTA RANGE 17,19.745833_-155.626111
111.0_R,19.76029046,-155.4555569,HALEPOHAKU 111,19.760290_-155.455557
113.2_R,19.92666,-155.44,PUU MALI,19.926660_-155.440000
125.12_R,19.8,-155.3333333,Pua Akala,19.800000_-155.333333
127.5_R,19.93217,-155.29129,Laupahoehoe,19.932170_-155.291290
128.1_R,19.83873,-155.30797,Hakalau,19.838730_-155.307970
129.0_R,19.82111111,-155.3305556,HAKALAU,19.821111_-155.330556
132.2_R,19.96358,-155.25014,Spencer,19.963580_-155.250140
132.3_R,19.9522,-155.185,POHAKUPUKA,19.952200_-155.185000
132.4_R,19.95,-155.217,KAPEHU MAUKA 132.4,19.950000_-155.217000
132.5_R,19.97278,-155.23944,KIHALANI 132.5,19.972780_-155.239440
133.1_R,19.98027372,-155.2305601,LAUPAHOEHOE 133.1,19.980274_-155.230560
133.3_R,19.9792,-155.2372,Laupahoehoe,19.979200_-155.237200
137.4_R,19.8875,-155.12528,WAILEA 137.4,19.887500_-155.125280
138.2_R,19.86139,-155.16361,KAHUNA FALLS 138.2,19.861390_-155.163610
138.3_R,19.8494,-155.15,HONOMU 2.8 SW,19.849400_-155.150000
140.1_R,19.78695738,-155.1388973,PAPAIKOU MAUKA NO 2 140,19.786957_-155.138897
140.5_R,19.835,-155.149,KAUKU 140.5,19.835000_-155.149000
144.1_R,19.78362447,-155.0922318,PAPAIKOU 144.1,19.783624_-155.092232
144.11_R,19.8313,-155.1077,PEPEEKEO 0.2 SSE,19.831300_-155.107700
144.12_R,19.8095,-155.0988,PAPAIKOU 1.1 N,19.809500_-155.098800
147.1_R,20.10027112,-155.8322151,MIDDLE PEN 147.1,20.100271_-155.832215
147.2_R,20.08305556,-155.8325,KOHALA RANCH,20.083056_-155.832500
160.3_R,20.265,-155.8582,Upolu Airport,20.265000_-155.858200
168.0_R,20.23692665,-155.8272119,HAWI 168,20.236927_-155.827212
175.1_R,20.2252605,-155.7922137,KOHALA MISSION 175.1,20.225261_-155.792214
176.3_R,20.1249008,-155.7884,Kahua Ranch HQ,20.124901_-155.788400
178.12_R,20.12554592,-155.7774941,PONOHOLO RCH 178.11,20.125546_-155.777494
179.3_R,20.20694,-155.73778,POLOLU LOOKOUT 179.3,20.206940_-155.737780
185.7_R,20.08533333,-155.6811667,KawainuiRainGagenearKamuela,20.085333_-155.681167
189.0_R,20.01666667,-155.6,Waimea Plain,20.016667_-155.600000
191.1_R,20.01083015,-155.6763867,LALAMILO FLD OF 191.1,20.010830_-155.676387
192.7_R,20.0319996,-155.6667,Kamuela Upper,20.032000_-155.666700
199.0_R,20.11526922,-155.5822202,KUKUIHAELE HIC 199,20.115269_-155.582220
201.3_R,20.0394993,-155.6084,Kamuela 1,20.039499_-155.608400
206.1_R,20.12167,-155.57417,KUKUIHAELE 206.1,20.121670_-155.574170
214.0_R,20.09193527,-155.4738903,HAINA 214,20.091935_-155.473890
215.0_R,20.08026947,-155.4672231,HONOKAA TOWN 215,20.080269_-155.467223
215.5_R,20.0656,-155.49,Honokaa,20.065600_-155.490000
216.6_R,20.0417,-155.4777,HONOKAA 2.5 SSW,20.041700_-155.477700
216.8_R,20.06111,-155.43528,KALOPA 216.8,20.061110_-155.435280
216.9_R,20.0606,-155.43,HONOKAA 2.7 ESE,20.060600_-155.430000
217.0_R,20.08360173,-155.4372236,PAAUHAU 217,20.083602_-155.437224
217.2_R,20.07306,-155.44722,PAAUHAU MAUKA 217.2,20.073060_-155.447220
221.0_R,20.03860487,-155.3688913,PAAUILO 221,20.038605_-155.368891
221.7_R,20.019,-155.3988,PAAUILO 2.4 SW,20.019000_-155.398800
222.0_R,20.02693892,-155.3422253,KUKAIAU 222,20.026939_-155.342225
223.0_R,20.01527222,-155.2838932,OOKALA 223,20.015272_-155.283893
249.1_R,20.6420893,-156.4388486,MAKENA GOLF CRS 249.1,20.642089_-156.438849
250.0_R,20.648174,-156.398497,ULUPALAKUA RANCH 250,20.648174_-156.398497
250.2_R,20.6487999,-156.3981,Ulupalakua Ranch,20.648800_-156.398100
253.0_R,20.64422222,-156.3420556,AUWAHI HN-141,20.644222_-156.342056
255.0_R,20.6195,-156.2518889,KepuniGulchRainGage,20.619500_-156.251889
256.0_R,20.63014664,-156.2038592,WAIOPAI RANCH 256,20.630147_-156.203859
258.6_R,20.662925,-156.04248,OHE'O 258.6,20.662925_-156.042480
266.0_R,20.68416667,-156.1519444,KAUPO GAP,20.684167_-156.151944
267.0_R,20.70013977,-156.3555187,KULA HOSPITAL 267,20.700140_-156.355519
267.8_R,20.68305556,-156.3216667,KULA 1,20.683056_-156.321667
276.0_R,20.72655556,-156.09225,BIG BOG HN-164,20.726556_-156.092250
277.0_R,20.73630556,-156.1071389,HORSHOE PU'U HN-163,20.736306_-156.107139
278.0_R,20.73422222,-156.1228889,TREE LINE HN-162,20.734222_-156.122889
278.1_R,20.73492113,-156.1234398,Lakes - Subalpine,20.734921_-156.123440
278.11_R,20.745673,-156.1425145,Puu Alaea - Cloud forest,20.745673_-156.142515
278.12_R,20.74567736,-156.1424321,Puu Alaea - Forest line,20.745677_-156.142432
278.2_R,20.735063,-156.1222481,Lakes - Forest line,20.735063_-156.122248
278.3_R,20.73575551,-156.1214124,Lakes - Cloud forest,20.735756_-156.121412
278.4_R,20.73450891,-156.1273482,Lakes - Alpine,20.734509_-156.127348
278.5_R,20.73857613,-156.1365744,Frisbee - Alpine,20.738576_-156.136574
278.6_R,20.74071537,-156.1350318,Frisbee - Subalpine,20.740715_-156.135032
278.7_R,20.74195056,-156.1342138,Frisbee - Forest line,20.741951_-156.134214
278.71_R,20.73622225,-156.1341472,Frisbee - Cloud forest,20.736222_-156.134147
278.8_R,20.74402239,-156.1421477,Puu Alaea - Alpine,20.744022_-156.142148
278.9_R,20.74489428,-156.1421289,Puu Alaea - Subalpine,20.744894_-156.142129
279.0_R,20.73061111,-156.1413056,POHAKAU PALAHA HN-161,20.730611_-156.141306
280.1_R,20.66836111,-156.0522222,OheoGulchRGatdamnearKipahulu,20.668361_-156.052222
307.2_R,20.81346495,-156.5071787,POHAKEA BRIDGE 307.2,20.813465_-156.507179
311.2_R,20.7975,-156.4772222,Kealia Pond NWR,20.797500_-156.477222
311.5_R,20.7061005,-156.437,Kihei 2,20.706101_-156.437000
324.6_R,20.75788889,-156.3200278,KULA AG HN-119,20.757889_-156.320028
324.7_R,20.7577991,-156.3217,Kula Branch Stn,20.757799_-156.321700
328.4_R,20.75763889,-156.2775,PU'U PAHU HN-106,20.757639_-156.277500
333.0_R,20.79179801,-156.2521891,UKULELE 333,20.791798_-156.252189
337.0_R,20.703948,-156.241101,south rim,20.703948_-156.241101
337.1_R,20.714563,-156.2394,Sliding Sands,20.714563_-156.239400
337.11_R,20.7300298,-156.140176,Pohaku Palaha,20.730030_-156.140176
337.12_R,20.73782363,-156.1453106,Puu Alaea,20.737824_-156.145311
337.13_R,20.71236611,-156.1437572,Paliku,20.712366_-156.143757
337.2_R,20.709651,-156.224485,Puu o Pele,20.709651_-156.224485
337.3_R,20.718443,-156.212261,Lava lake,20.718443_-156.212261
337.4_R,20.731704,-156.205387,Silversword loop,20.731704_-156.205387
337.5_R,20.74337371,-156.2288651,Leleiwi,20.743374_-156.228865
337.6_R,20.717807,-156.188007,Puu Nole,20.717807_-156.188007
337.7_R,20.73567887,-156.1754875,Hanakauhi,20.735679_-156.175488
337.8_R,20.73555054,-156.1587809,Aloha Park,20.735551_-156.158781
337.9_R,20.7229056,-156.1544823,Laie,20.722906_-156.154482
338.0_R,20.75846738,-156.2455233,HALEAKALA RANGER STATION 338,20.758467_-156.245523
338.4_R,20.71667,-156.26667,HALEAKALA SUMMIT 338,20.716670_-156.266670
339.4_R,20.75980556,-156.2481667,PARK HQ HN-151,20.759806_-156.248167
339.5_R,20.73819444,-156.2458333,NENE NEST HN-152,20.738194_-156.245833
339.6_R,20.71036111,-156.25675,SUMMIT HN-153,20.710361_-156.256750
348.5_R,20.81436111,-156.1429722,WestWailuaikiRainGagenrKeanae,20.814361_-156.142972
350.0_R,20.81179461,-156.1171956,PAAKEA 350,20.811795_-156.117196
353.0_R,20.7946,-156.0157,Hana AP,20.794600_-156.015700
355.0_R,20.792,-156.017,HANA AIRPORT 355,20.792000_-156.017000
361.1_R,20.8909,-156.6556,Lahainaluna,20.890900_-156.655600
364.0_R,20.89679257,-156.6621736,WAHIKULI 364,20.896793_-156.662174
380.0_R,20.89083333,-156.6008333,PuuKukuiRainGageatalt,20.890833_-156.600833
386.0_R,20.89345755,-156.4971783,WAILUKU 386,20.893458_-156.497178
386.6_R,20.8831005,-156.5124,Wailuku,20.883101_-156.512400
390.0_R,20.8491,-156.5092,WAIKAPU 390,20.849100_-156.509200
390.4_R,20.8346996,-156.5135,Waikapu Country Club,20.834700_-156.513500
396.0_R,20.8717927,-156.4538466,PUUNENE 396,20.871793_-156.453847
398.0_R,20.8887,-156.41,KAHULUI AIRPORT,20.888700_-156.410000
406.0_R,20.9051221,-156.3738494,PAIA 406,20.905122_-156.373849
423.0_R,20.86679262,-156.3405177,HALIIMAILE 423,20.866793_-156.340518
426.6_R,20.8355007,-156.3307,Pukalani,20.835501_-156.330700
446.0_R,20.89012208,-156.2121892,KAILUA 446,20.890122_-156.212189
457.1_R,20.93194,-156.67611,PUUKOLII 457.1,20.931940_-156.676110
462.4_R,20.9625,-156.6753,KAPALUA W.MAUI AIRPORT 462.4,20.962500_-156.675300
466.0_R,20.94678808,-156.6555055,MAHINAHINA 466,20.946788_-156.655506
474.0_R,20.9951177,-156.6391163,FIELD 46 474,20.995118_-156.639116
482.0_R,20.94012106,-156.5255102,WAIHEE VALLEY 482,20.940121_-156.525510
482.4_R,20.9539,-156.5342,KAHAKULOA MAUKA 482,20.953900_-156.534200
482.5_R,20.9540997,-156.5342,Kahakuloa,20.954100_-156.534200
484.0_R,20.91623388,-156.5088444,WAIEHU CAMP 484,20.916234_-156.508844
485.0_R,20.91345401,-156.3455169,HAMAKUAPOKO 485,20.913454_-156.345517
486.7_R,20.92011989,-156.3071849,HAIKU 3.2 SE,20.920120_-156.307185
489.0_R,20.9288998,-156.3225,Haiku,20.928900_-156.322500
490.7_R,20.89306,-156.30306,KUIAHA 490.7,20.893060_-156.303060
492.2_R,20.91,-156.282,HALEHAKU 492.2,20.910000_-156.282000
493.0_R,21.00011804,-156.655505,HONOKOHUA 493,21.000118_-156.655505
494.0_R,21.010978,-156.633839,HONOLUA FIELD 49 494,21.010978_-156.633839
497.0_R,21.02511528,-156.6005068,NAKALELE FIELD 60 497,21.025115_-156.600507
499.11_R,20.5625,-156.5630556,LUA MAKIKA,20.562500_-156.563056
499.12_R,20.54361111,-156.6408333,KEALIALALO,20.543611_-156.640833
499.13_R,20.58027778,-156.5711111,HAKIOAWA,20.580278_-156.571111
499.9_R,20.52222222,-156.5658333,KANELOA,20.522222_-156.565833
511.0_R,21.13348648,-157.2121842,MAUNALOA 511,21.133486_-157.212184
524.0_R,21.15514996,-157.0924625,MOLOKAI KAUNAKAKAI MOLOKAI AIRPORT,21.155150_-157.092463
536.0_R,21.08876308,-157.0216311,KAUNAKAKAI 536,21.088763_-157.021631
536.5_R,21.0946007,-157.0174,Kaunakakai Mauka,21.094601_-157.017400
536.6_R,21.068,-156.963,KAUNAKAKAI 3.5 ESE,21.068000_-156.963000
538.0_R,21.115,-156.9475,MOLOKAI 1,21.115000_-156.947500
541.2_R,21.14083333,-156.9022222,Puu ALII WEST,21.140833_-156.902222
550.3_R,21.1804,-157.2319,MAUNALOA 3.2 NNW,21.180400_-157.231900
553.0_R,21.20333333,-156.9661111,MAKAPULAPAI,21.203333_-156.966111
563.0_R,21.19014673,-156.9824624,KALAUPAPA 563,21.190147_-156.982462
672.1_R,20.8262997,-156.9182,Lanai City,20.826300_-156.918200
679.0_R,20.87333333,-157.0063889,LANAI 1,20.873333_-157.006389
702.2_R,21.313926,-157.999529,HONOLULU OBSERV 702.2,21.313926_-157.999529
702.7_R,21.31667,-158.06667,Kapolei-Kalaeloa AP,21.316670_-158.066670
702.8_R,21.3150005,-157.9992,PTWC,21.315001_-157.999200
703.0_R,21.324,-157.9294,HONOLULU INTERNATIONAL AIRPORT,21.324000_-157.929400
703.1_R,21.3287,-157.9298,"HONOLULU FIRE STATION 703.1, HI US",21.328700_-157.929800
705.0_R,21.305169,-157.8522571,BERETANIA PUMP STN 705,21.305169_-157.852257
705.12_R,21.3034,-157.8627,Aloha Tower,21.303400_-157.862700
706.5_R,21.32180556,-157.8694722,Niuhelewai HCC JD,21.321806_-157.869472
707.2_R,21.30489073,-157.8305905,EWA KALAELOA AIRPORT,21.304891_-157.830590
707.5_R,21.3004,-157.8293,HONOLULU 2.0 SW,21.300400_-157.829300
709.0_R,21.31016855,-157.846146,PUNCHBOWL CRATER 709,21.310169_-157.846146
711.6_R,21.29322222,-157.8127222,"ManoaRGatKanewaiFld,Honolulu",21.293222_-157.812722
711.7_R,21.28944444,-157.8155556,H-1RainGageatKapiolaniAve,21.289444_-157.815556
712.1_R,21.31044568,-157.8147571,MANOA 712.1,21.310446_-157.814757
713.0_R,21.29933514,-157.8167017,UNIV OF HAWAII 713,21.299335_-157.816702
715.0_R,21.27433592,-157.7880917,WAIALAE KAHALA,21.274336_-157.788092
716.0_R,21.32794416,-157.7914236,MANOA TUN 2 716,21.327944_-157.791424
717.2_R,21.27183682,-157.8180917,WAIKIKI 717.2,21.271837_-157.818092
718.0_R,21.32183297,-157.7717015,PALOLO VALLEY 718,21.321833_-157.771702
720.6_R,21.285,-157.7816,HONOLULU 2.7 SSE,21.285000_-157.781600
721.0_R,21.29766804,-157.7853133,WILHELMINA RISE 721,21.297668_-157.785313
721.4_R,21.2996006,-157.7944,Palolo Fire Stn,21.299601_-157.794400
723.4_R,21.28172556,-157.7282194,PAIKO DRIVE 723.4,21.281726_-157.728219
723.8_R,21.2896996,-157.7332,Niu Valley,21.289700_-157.733200
724.19_R,21.29889,-157.66444,HAWAII KAI GC 724.19,21.298890_-157.664440
724.21_R,21.3085995,-157.6791,Kamehame,21.308599_-157.679100
728.2_R,21.385,-158.1041667,PALEHUA,21.385000_-158.104167
740.5_R,21.3869991,-158.0358,Kunia,21.386999_-158.035800
741.0_R,21.3401713,-158.0339215,EWA PLANTATION 741,21.340171_-158.033921
742.4_R,21.35666667,-158.0205556,HONOULIULI PHB,21.356667_-158.020556
750.0_R,21.38683459,-158.0072536,WAIPAHU 750,21.386835_-158.007254
752.6_R,21.38694444,-157.9811111,WAIAWA PHB,21.386944_-157.981111
764.6_R,21.39488776,-157.91031,AIEA HEIGHTS 764.6,21.394888_-157.910310
764.7_R,21.393,-157.9186,AIEA 0.7 ENE,21.393000_-157.918600
770.0_R,21.34794527,-157.8950332,MOANALUA 770,21.347945_-157.895033
771.11_R,21.40488889,-157.8504444,N.HalawaValleyRGattunnel,21.404889_-157.850444
771.9_R,21.382,-157.9033333,NHalawaRainGagenrHonolulu,21.382000_-157.903333
772.0_R,21.37823611,-157.8700306,MoanaluaRaingagenrHonolulu,21.378236_-157.870031
772.1_R,21.39295833,-157.8908639,N.HalawaRaingagenrAiea,21.392958_-157.890864
772.3_R,21.39338889,-157.8401111,MoanaluaRGNo.1atalt1000,21.393389_-157.840111
772.5_R,21.3736,-157.8801,Moanalua Stream,21.373600_-157.880100
772.6_R,21.38823333,-157.8486389,MoanaluaRaingagenrKaneohe,21.388233_-157.848639
773.0_R,21.33933391,-157.8567005,KAPALAMA 773,21.339334_-157.856700
775.0_R,21.339125,-157.835905,NUUANU RES 5 775,21.339125_-157.835905
777.0_R,21.37516437,-157.8222555,KALIHI RES SITE 777,21.375164_-157.822256
777.3_R,21.3771,-157.8166,Wilson Tunnel,21.377100_-157.816600
780.5_R,21.32711168,-157.8239234,TANTALUS 2 780.5,21.327112_-157.823923
781.0_R,21.40849568,-157.8105878,KANEOHE MAUKA 781,21.408496_-157.810588
781.11_R,21.39184444,-157.809475,LulukuRaingageatalt,21.391844_-157.809475
781.13_R,21.4039,-157.8017,"KANEOHE 0.8 SW, HI US",21.403900_-157.801700
781.7_R,21.3873,-157.8098,LULUKU 781.7,21.387300_-157.809800
781.9_R,21.38628889,-157.7928083,RBKamooaliiRaingagenrKaneohe,21.386289_-157.792808
782.3_R,21.3502007,-157.8184,Nuuanu Upper,21.350201_-157.818400
783.0_R,21.35266525,-157.807534,NUUANU RES 4 783,21.352665_-157.807534
784.0_R,21.33516641,-157.8105899,PAUOA FLATS 784,21.335166_-157.810590
785.4_R,21.3330002,-157.8024,Manoa Lyon Arbo,21.333000_-157.802400
787.1_R,21.351,-157.7668,MAUNAWILI 787.1,21.351000_-157.766800
788.0_R,21.3666,-157.7785,ST STEPHENS SEMINARY,21.366600_-157.778500
788.1_R,21.37183016,-157.7839226,PALI GOLF COURSE 788.1,21.371830_-157.783923
788.2_R,21.3666992,-157.7786,St Stephens Seminary,21.366699_-157.778600
790.11_R,21.3777008,-157.7507,Olomana Fire Stn,21.377701_-157.750700
793.1_R,21.3727,-157.725,WAIMANALO EXPERIMENTAL FARM,21.372700_-157.725000
795.1_R,21.33516407,-157.7105906,WAIMANALO EXP F 795.1,21.335164_-157.710591
795.3_R,21.3356991,-157.7116,Waimanalo Nonokio,21.335699_-157.711600
798.0_R,21.44683495,-158.1855845,WAIANAE 798,21.446835_-158.185585
799.0_R,21.48,-158.1072222,WAIAWA PHB,21.480000_-158.107222
800.3_R,21.47833333,-158.1963889,MAKAHA CTRY CLUB 800.3,21.478333_-158.196389
801.1_R,21.4566994,-158.18,Waianae Kawiwi,21.456699_-158.180000
803.2_R,21.48055556,-158.1552778,WAIANAE VALLEY,21.480556_-158.155278
804.0_R,21.4211006,-158.1352,Lualualei,21.421101_-158.135200
810.1_R,21.48722,-158.02806,WHEELER ARMY AIR FIELD 810.1,21.487220_-158.028060
820.6_R,21.4638004,-157.9991,Mililani,21.463800_-157.999100
821.3_R,21.48880556,-157.9960556,"SFKaukonahuaRainGage,nrWaawa",21.488806_-157.996056
824.2_R,21.4199009,-158.0058,Waipio,21.419901_-158.005800
828.0_R,21.49944444,-157.9933333,SCHOFIELD EAST,21.499444_-157.993333
832.2_R,21.47027778,-157.9708333,KipapaRaingagenrWaawa,21.470278_-157.970833
834.13_R,21.4440994,-157.9669,Waiawa CF,21.444099_-157.966900
835.2_R,21.4298,-157.9452,Palisades,21.429800_-157.945200
837.0_R,21.47016136,-157.8833636,WAIAHOLE 837 ,21.470161_-157.883364
837.11_R,21.48197222,-157.8458333,WaiaholeRGatKamehamehaHwy,21.481972_-157.845833
837.5_R,21.45167,-157.84889,WAIHEE 837.5,21.451670_-157.848890
837.6_R,21.4551,-157.8294,KANEOHE 3.9 NW,21.455100_-157.829400
838.1_R,21.42349474,-157.803921,KANEOHE 838.1,21.423495_-157.803921
839.12_R,21.432,-157.8373,AHUIMANU LOOP 839.12,21.432000_-157.837300
839.15_R,21.4319992,-157.8373,Ahuimanu Loop ,21.431999_-157.837300
839.31_R,21.40628611,-157.829475,HaikuRaingagenrHeeia,21.406286_-157.829475
839.8_R,21.4463997,-157.8584,Waihee Pump,21.446400_-157.858400
840.0_R,21.44404851,-157.7730876,KANEOHE BAY MCAS,21.444049_-157.773088
