OBJECTID *,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,FID,Name,lat,lon,Res_ID,ID,FID,SKN,LAT,LON,Station_Na,UID,UID_X,UID_Y
1,-1,0,325,0.012782,1,-157.980722,21.497361,-157.993333,21.499444,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,325,828.0_R,21.499444,-157.993333,SCHOFIELD EAST,21.499444_-157.993333,-157.993333,21.499444
2,-1,0,323,0.017559,2,-157.980722,21.497361,-157.996056,21.488806,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,323,821.3_R,21.488806,-157.996056,"SFKaukonahuaRainGage,nrWaawa",21.488806_-157.996056,-157.996056,21.488806
3,-1,0,326,0.028832,3,-157.980722,21.497361,-157.970833,21.470278,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,326,832.2_R,21.470278,-157.970833,KipapaRaingagenrWaawa,21.470278_-157.970833,-157.970833,21.470278
4,-1,0,362,0.030315,4,-157.980722,21.497361,-158.008918,21.508495,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,362,874.3_R,21.508495,-158.008918,UPPER WAHIAWA 874.3,21.508495_-158.008918,-158.008918,21.508495
5,-1,0,322,0.038263,5,-157.980722,21.497361,-157.9991,21.4638,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,322,820.6_R,21.4638,-157.9991,Mililani,21.463800_-157.999100,-157.9991,21.4638
6,-1,0,367,0.048125,6,-157.980722,21.497361,-157.9369,21.47747,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,367,885.7_R,21.47747,-157.9369,OAHU FOREST NWR,21.477470_-157.936900,-157.9369,21.47747
7,-1,0,321,0.048412,7,-157.980722,21.497361,-158.02806,21.48722,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,321,810.1_R,21.48722,-158.02806,WHEELER ARMY AIR FIELD 810.1,21.487220_-158.028060,-158.02806,21.48722
8,-1,0,327,0.055026,8,-157.980722,21.497361,-157.9669,21.444099,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,327,834.13_R,21.444099,-157.9669,Waiawa CF,21.444099_-157.966900,-157.9669,21.444099
9,-1,0,363,0.056907,9,-157.980722,21.497361,-157.936694,21.533417,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,363,882.4_R,21.533417,-157.936694,PoamohoRainGageNo.2nrWaawa,21.533417_-157.936694,-157.936694,21.533417
10,-1,0,364,0.069661,10,-157.980722,21.497361,-157.921389,21.533861,0,"Ku Tree Reservoir near Wahiawa, Oahu, HI",21.497361,-157.980722,"	OA-0025",USGS_16208400,364,883.12_R,21.533861,-157.921389,"PoamohoRainGageNo1,nrWaawa",21.533861_-157.921389,-157.921389,21.533861
11,-1,1,447,0.00276,1,-159.379056,22.178972,-159.377758,22.181408,1,"Ka Loko Reservoir near Kilauea, Kauai, HI",22.178972,-159.379056,KA-0030,USGS_16094150,447,1137.0_R,22.181408,-159.377758,KOLOKO RESERVOIR 113,22.181408_-159.377758,-159.377758,22.181408
