,station_id,date_min,date_max,mean_WL,median_WL,min_WL,max_WL
0,WL_EDD00214,2018-12-31 22:09:00,2022-09-13 19:04:00,1477.708253563855,1470.0,1315.0,1907.0
1,WL_EDD00CC6,2018-12-31 22:09:00,2022-09-13 19:04:00,854.0199443133613,819.0,-125738.0,131071.0
2,WL_EDD01162,2022-04-26 22:09:00,2022-09-13 19:04:00,-216.98569893218695,-217.0,-237.0,-190.0
3,WL_EDD01FB0,2021-03-16 19:09:00,2021-07-27 18:04:00,2373.4873173224323,2032.0,1926.0,4568.0
4,WL_EDD024F8,2018-12-31 22:09:00,2022-09-13 19:04:00,38160.31677503744,38135.0,-92938.0,59639.0
5,WL_EDD02A2A,2018-12-31 22:09:00,2022-09-13 19:04:00,96748.49956167614,97135.0,-74419.0,131071.0
6,WL_EDD0378E,2019-02-07 18:10:00,2022-09-13 19:05:00,3685.7621676791027,3687.0,2616.0,4541.0
7,WL_EDD0395C,2018-12-31 22:10:00,2022-09-13 19:05:00,2710.2837742385386,2739.0,438.0,131071.0
8,WL_EDD0411E,2018-12-31 22:10:00,2022-05-08 05:30:00,2440.4051992815826,2500.0,248.0,131071.0
9,WL_EDD04FCC,2018-12-31 22:10:00,2022-09-13 19:05:00,2227.9444644407276,2244.0,1693.0,3625.0
10,WL_EDD05268,2018-12-31 22:10:00,2022-09-13 19:05:00,2463.235549363747,2586.0,1682.0,3657.0
11,WL_EDD05CBA,2018-12-31 22:45:00,2021-03-10 18:50:00,1828.4290627687017,1835.0,1548.0,2337.0
12,WL_EDD067F2,2018-12-31 22:45:00,2022-09-13 19:40:00,604.9202500238572,637.0,-285.0,131071.0
13,WL_EDD06920,2018-12-31 22:45:00,2022-09-13 19:40:00,15804.91258179121,665.0,-454.0,131071.0
14,WL_EDD07484,2018-12-31 22:45:00,2022-09-13 19:40:00,23009.388035357806,22913.0,22789.0,24001.0
15,WL_EDD07A56,2018-12-31 22:16:00,2022-09-13 19:11:00,7406.428574927834,7283.0,3818.0,131071.0
16,WL_EDD08400,2018-12-31 22:16:00,2022-09-13 19:11:00,42620.0352438432,42585.0,41855.0,131071.0
17,WL_EDD08AD2,2019-03-21 17:16:00,2021-08-25 22:20:00,5159.913726505556,2668.0,463.0,131071.0
18,WL_EDD099A4,2019-09-17 19:17:00,2020-05-24 02:42:00,16003.92779709552,16004.0,1928.0,16198.0
19,WL_EDD0A2EC,2019-11-07 23:17:00,2022-09-13 19:12:00,2704.8675084724623,2663.0,-128576.0,128245.0
20,WL_EDD0AC3E,2020-01-27 23:17:00,2022-06-05 13:02:00,1662.0940238909004,1672.0,719.0,131071.0
21,WL_EDD0B19A,2020-01-28 21:17:00,2022-09-13 19:12:00,2143.747168926508,2186.0,-1477.0,2863.0
22,WL_EDD0BF48,2021-10-13 00:17:00,2022-09-13 19:12:00,1437.5142542669787,1429.0,1023.0,83209.0
23,WL_EDD0C70A,2021-10-11 23:17:00,2022-09-13 19:12:00,1461.9054139386487,1150.0,-38.0,131071.0
24,WL_EDD0C9D8,2022-01-13 22:18:00,2022-06-29 17:13:00,1877.04498706543,375.0,-32601.0,131071.0
25,WL_EDD0D47C,2022-01-18 22:18:00,2022-09-13 19:13:00,1654.1763725221522,1617.0,1475.0,131071.0
26,WL_EDD0DAAE,2022-04-27 22:31:00,2022-09-13 19:26:00,1327.3812956154807,1335.0,993.0,1713.0
27,WL_EDD11398,2021-11-02 01:45:00,2021-11-09 20:40:00,993.6602017067494,994.0,980.0,1006.0
