FILENAME,STATION_NAME,ISLAND,LAT,LON,ELEV_M,DATE_START,DATE_END,COMPLETENESS,SOURCES,CORR_FLAG
911620-22501,BARKING SANDS,Kauai,22.03333,-159.78333,7,11/5/1996,12/31/2020,30.73508229,NCEI_ISD; ASOS,Pass
911650-22536,LIHUE AIRPORT,Kauai,21.98389,-159.34056,36.204414,12/31/1972,12/31/2020,99.1389759,NCEI_ISD; ASOS,Not applicable
911700-22508,WHEELER ARMY AIRFIELD,Oahu,21.48722,-158.02806,255,9/26/2006,12/31/2020,21.18335719,NCEI_ISD; UaHydroNet; ASOS; HADS,Pass
911760-22519,KANEOHE MCAS,Oahu,21.45092,-157.76293,3,7/1/1996,12/31/2020,55.02809813,NCEI_ISD; ASOS,Not applicable
911780-22551,KALAELOA AIRPORT,Oahu,21.31667,-158.06667,10,12/31/2005,12/31/2020,96.71115167,NCEI_ISD; ASOS,Not applicable
911820-22521,HONOLULU INTERNATIONAL AIRPOR,Oahu,21.324,-157.9294,2.1,10/1/1962,12/31/2020,99.76715813,NCEI_ISD; ASOS,Not applicable
911860-22534,MOLOKAI AIRPORT,Molokai,21.15289,-157.09626,137,1/1/2006,12/31/2020,88.8714817,NCEI_ISD; ASOS,Not applicable
911900-22516,KAHULUI AIRPORT,Maui,20.9,-156.429,20,12/31/1973,12/31/2020,94.20462213,NCEI_ISD; ASOS,Not applicable
911905-22524,LANAI AIRPORT,Lanai,20.78561,-156.95142,399,1/1/2006,12/31/2020,22.59840604,NCEI_ISD; ASOS,Warning
911975-21510,KONA INTL AT KEAHOLE ARPT,Hawaii,19.73877,-156.04563,13,12/31/2005,12/31/2020,98.12630698,NCEI_ISD; ASOS,Pass
911977-21508,BRADSHAW ARMY AIRFIELD,Hawaii,19.76001,-155.55377,1798.3,5/1/2006,12/31/2020,11.18454302,NCEI_ISD; ASOS,Pass
999999-21515,HILO 5 S,Hawaii,19.645,-155.083,189.6,9/26/2005,12/31/2020,99.31540635,NCEI_ISD,Pass
AHUH1,AHUIMANU LOOP,Oahu,21.4319992,-157.8373,74.0664,9/1/1968,12/31/2020,94.84392711,NCEI_COOPV2; UaHydroNet; HADS,Pass
AIKH1,HAIKU,Maui,20.9288998,-156.3225,99.3648,7/1/1994,12/31/2020,84.78843778,UaHydroNet; HADS,Not applicable
ANHH1,ANAHOLA,Kauai,22.1373997,-159.312,75.2856,7/1/1994,12/31/2020,78.91952846,UaHydroNet; HADS,Pass
BELH1,BELLOWS AFS AT WAIMANALO,Oahu,21.3666992,-157.7167,3.048,4/30/2015,12/31/2020,97.40311947,UaHydroNet; HADS,Pass
CN641,PUU O PELE,Maui,20.709651,-156.224485,2424,7/11/2010,7/15/2019,99.9873376,EcohydrologyLab,Pass
CN642,LAVA LAKE,Maui,20.718443,-156.212261,2270,8/17/2010,8/9/2019,97.1240119,EcohydrologyLab,Pass
CN643,PUU NOLE,Maui,20.717807,-156.188007,2261,11/10/2010,5/14/2019,99.98658906,EcohydrologyLab,Pass
