,date,data,bv,txtype
124,2021-11-02T10:05:00Z,987,12.706,1
125,2021-11-02T10:10:00Z,986,12.706,1
126,2021-11-02T10:15:00Z,987,12.706,1
127,2021-11-02T10:20:00Z,986,12.706,1
128,2021-11-02T10:25:00Z,986,12.706,1
129,2021-11-02T10:30:00Z,987,12.706,1
130,2021-11-02T10:35:00Z,987,12.706,1
131,2021-11-02T10:40:00Z,986,12.706,1
132,2021-11-02T10:45:00Z,986,12.706,1
133,2021-11-02T10:50:00Z,986,12.706,1
134,2021-11-02T10:55:00Z,986,12.706,1
135,2021-11-02T11:00:00Z,986,12.706,1
136,2021-11-02T11:05:00Z,986,12.706,1
137,2021-11-02T11:10:00Z,986,12.706,1
138,2021-11-02T11:15:00Z,986,12.706,1
139,2021-11-02T11:20:00Z,986,12.706,1
140,2021-11-02T11:25:00Z,986,12.706,1
141,2021-11-02T11:30:00Z,986,12.706,1
142,2021-11-02T11:35:00Z,986,12.706,1
143,2021-11-02T11:40:00Z,986,12.706,1
144,2021-11-02T11:45:00Z,985,12.706,1
145,2021-11-02T11:50:00Z,985,12.706,1
146,2021-11-02T11:55:00Z,986,12.706,1
147,2021-11-02T12:00:00Z,986,12.706,1
148,2021-11-02T12:05:00Z,985,12.706,1
149,2021-11-02T12:10:00Z,986,12.706,1
150,2021-11-02T12:15:00Z,985,12.706,1
151,2021-11-02T12:20:00Z,985,12.706,1
152,2021-11-02T12:25:00Z,985,12.706,1
153,2021-11-02T12:30:00Z,984,12.706,1
154,2021-11-02T12:35:00Z,983,12.706,1
155,2021-11-02T12:40:00Z,984,12.706,1
156,2021-11-02T12:45:00Z,984,12.706,1
157,2021-11-02T12:50:00Z,984,12.706,1
158,2021-11-02T12:55:00Z,984,12.706,1
159,2021-11-02T13:00:00Z,984,12.706,1
160,2021-11-02T13:05:00Z,984,12.706,1
161,2021-11-02T13:10:00Z,983,12.706,1
162,2021-11-02T13:15:00Z,983,12.706,1
163,2021-11-02T13:20:00Z,983,12.706,1
164,2021-11-02T13:25:00Z,983,12.706,1
165,2021-11-02T13:30:00Z,984,12.706,1
166,2021-11-02T13:35:00Z,984,12.706,1
167,2021-11-02T13:40:00Z,984,12.706,1
168,2021-11-02T13:45:00Z,983,12.706,1
169,2021-11-02T13:50:00Z,983,12.706,1
170,2021-11-02T13:55:00Z,984,12.706,1
171,2021-11-02T14:00:00Z,983,12.706,1
172,2021-11-02T14:05:00Z,984,12.706,1
173,2021-11-02T14:10:00Z,984,12.706,1
174,2021-11-02T14:15:00Z,983,12.706,1
175,2021-11-02T14:20:00Z,983,12.706,1
176,2021-11-02T14:25:00Z,984,12.706,1
177,2021-11-02T14:30:00Z,984,12.706,1
178,2021-11-02T14:35:00Z,984,12.706,1
179,2021-11-02T14:40:00Z,984,12.706,1
180,2021-11-02T14:45:00Z,984,12.706,1
181,2021-11-02T14:50:00Z,984,12.706,1
182,2021-11-02T14:55:00Z,984,12.706,1
183,2021-11-02T15:00:00Z,984,12.706,1
184,2021-11-02T15:05:00Z,985,12.706,1
185,2021-11-02T15:10:00Z,984,12.706,1
186,2021-11-02T15:15:00Z,984,12.706,1
187,2021-11-02T15:20:00Z,984,12.706,1
188,2021-11-02T15:25:00Z,984,12.706,1
189,2021-11-02T15:30:00Z,984,12.706,1
190,2021-11-02T15:35:00Z,984,12.706,1
191,2021-11-02T15:40:00Z,984,12.706,1
192,2021-11-02T15:45:00Z,984,12.706,1
193,2021-11-02T15:50:00Z,984,12.706,1
194,2021-11-02T15:55:00Z,985,12.706,1
195,2021-11-02T16:00:00Z,984,12.706,1
196,2021-11-02T16:05:00Z,985,12.706,1
197,2021-11-02T16:10:00Z,985,12.706,1
198,2021-11-02T16:15:00Z,985,12.706,1
199,2021-11-02T16:20:00Z,986,12.706,1
200,2021-11-02T16:25:00Z,986,12.706,1
201,2021-11-02T16:30:00Z,986,12.706,1
202,2021-11-02T16:35:00Z,986,12.706,1
203,2021-11-02T16:40:00Z,986,12.706,1
204,2021-11-02T16:45:00Z,986,12.706,1
205,2021-11-02T16:45:00Z,986,13.174,1
206,2021-11-02T16:50:00Z,986,12.706,1
207,2021-11-02T16:50:00Z,986,13.174,1
208,2021-11-02T16:55:00Z,986,13.174,1
209,2021-11-02T16:55:00Z,986,12.706,1
210,2021-11-02T17:00:00Z,986,12.706,1
211,2021-11-02T17:00:00Z,986,13.174,1
212,2021-11-02T17:05:00Z,986,12.706,1
213,2021-11-02T17:05:00Z,986,13.174,1
214,2021-11-02T17:10:00Z,986,12.706,1
215,2021-11-02T17:10:00Z,986,13.174,1
216,2021-11-02T17:15:00Z,986,12.706,1
217,2021-11-02T17:15:00Z,986,13.174,1
218,2021-11-02T17:20:00Z,986,12.706,1
219,2021-11-02T17:20:00Z,986,13.174,1
220,2021-11-02T17:25:00Z,987,13.174,1
221,2021-11-02T17:25:00Z,987,12.706,1
222,2021-11-02T17:30:00Z,987,13.174,1
223,2021-11-02T17:30:00Z,987,12.706,1
224,2021-11-02T17:35:00Z,988,13.174,1
225,2021-11-02T17:35:00Z,988,12.706,1
226,2021-11-02T17:40:00Z,988,13.174,1
227,2021-11-02T17:40:00Z,988,12.706,1
228,2021-11-02T17:45:00Z,988,13.174,1
229,2021-11-02T17:50:00Z,988,13.174,1
230,2021-11-02T17:55:00Z,988,13.174,1
231,2021-11-02T18:00:00Z,988,13.174,1
232,2021-11-02T18:05:00Z,989,13.174,1
233,2021-11-02T18:10:00Z,989,13.174,1
234,2021-11-02T18:15:00Z,989,13.174,1
235,2021-11-02T18:20:00Z,989,13.174,1
236,2021-11-02T18:25:00Z,990,13.174,1
237,2021-11-02T18:30:00Z,990,13.174,1
238,2021-11-02T18:35:00Z,989,13.174,1
239,2021-11-02T18:40:00Z,990,13.174,1
240,2021-11-02T18:45:00Z,990,13.174,1
241,2021-11-02T18:50:00Z,990,13.174,1
242,2021-11-02T18:55:00Z,991,13.174,1
243,2021-11-02T19:00:00Z,991,13.174,1
244,2021-11-02T19:05:00Z,991,13.174,1
245,2021-11-02T19:10:00Z,991,13.174,1
246,2021-11-02T19:15:00Z,992,13.174,1
247,2021-11-02T19:20:00Z,992,13.174,1
248,2021-11-02T19:25:00Z,994,13.174,1
249,2021-11-02T19:30:00Z,993,13.174,1
250,2021-11-02T19:35:00Z,993,13.174,1
251,2021-11-02T19:40:00Z,993,13.174,1
252,2021-11-02T19:45:00Z,993,13.408,1
253,2021-11-02T19:45:00Z,993,13.174,1
254,2021-11-02T19:50:00Z,993,13.408,1
255,2021-11-02T19:50:00Z,993,13.174,1
256,2021-11-02T19:55:00Z,993,13.174,1
257,2021-11-02T19:55:00Z,993,13.408,1
258,2021-11-02T20:00:00Z,993,13.174,1
259,2021-11-02T20:00:00Z,993,13.408,1
260,2021-11-02T20:05:00Z,993,13.174,1
261,2021-11-02T20:05:00Z,993,13.408,1
262,2021-11-02T20:10:00Z,993,13.408,1
263,2021-11-02T20:10:00Z,993,13.174,1
264,2021-11-02T20:15:00Z,993,13.408,1
265,2021-11-02T20:15:00Z,993,13.174,1
266,2021-11-02T20:20:00Z,993,13.408,1
267,2021-11-02T20:20:00Z,993,13.174,1
268,2021-11-02T20:25:00Z,992,13.174,1
269,2021-11-02T20:25:00Z,992,13.408,1
270,2021-11-02T20:30:00Z,992,13.408,1
271,2021-11-02T20:30:00Z,992,13.174,1
272,2021-11-02T20:35:00Z,992,13.174,1
273,2021-11-02T20:35:00Z,992,13.408,1
274,2021-11-02T20:40:00Z,992,13.408,1
275,2021-11-02T20:40:00Z,992,13.174,1
276,2021-11-02T20:45:00Z,992,13.174,1
277,2021-11-02T20:45:00Z,992,13.408,1
278,2021-11-02T20:50:00Z,991,13.174,1
279,2021-11-02T20:50:00Z,991,13.408,1
280,2021-11-02T20:55:00Z,991,13.408,1
281,2021-11-02T20:55:00Z,991,13.174,1
282,2021-11-02T21:00:00Z,991,13.174,1
283,2021-11-02T21:00:00Z,991,13.408,1
284,2021-11-02T21:05:00Z,990,13.408,1
285,2021-11-02T21:05:00Z,990,13.174,1
286,2021-11-02T21:10:00Z,991,13.408,1
287,2021-11-02T21:10:00Z,991,13.174,1
288,2021-11-02T21:15:00Z,990,13.408,1
289,2021-11-02T21:15:00Z,990,13.174,1
290,2021-11-02T21:20:00Z,990,13.174,1
291,2021-11-02T21:20:00Z,990,13.408,1
292,2021-11-02T21:25:00Z,990,13.408,1
293,2021-11-02T21:25:00Z,990,13.174,1
294,2021-11-02T21:30:00Z,990,13.408,1
295,2021-11-02T21:30:00Z,990,13.174,1
296,2021-11-02T21:35:00Z,989,13.408,1
297,2021-11-02T21:35:00Z,989,13.174,1
298,2021-11-02T21:40:00Z,990,13.408,1
299,2021-11-02T21:40:00Z,990,13.174,1
300,2021-11-02T21:45:00Z,990,13.174,1
301,2021-11-02T21:50:00Z,989,13.174,1
302,2021-11-02T21:55:00Z,989,13.174,1
303,2021-11-02T22:00:00Z,989,13.174,1
304,2021-11-02T22:05:00Z,989,13.174,1
305,2021-11-02T22:10:00Z,988,13.174,1
306,2021-11-02T22:15:00Z,989,13.174,1
307,2021-11-02T22:20:00Z,988,13.174,1
308,2021-11-02T22:25:00Z,988,13.174,1
309,2021-11-02T22:30:00Z,988,13.174,1
310,2021-11-02T22:35:00Z,988,13.174,1
311,2021-11-02T22:40:00Z,987,13.174,1
312,2021-11-02T22:45:00Z,988,13.174,1
313,2021-11-02T22:50:00Z,987,13.174,1
314,2021-11-02T22:55:00Z,987,13.174,1
315,2021-11-02T23:00:00Z,987,13.174,1
316,2021-11-02T23:05:00Z,986,13.174,1
317,2021-11-02T23:10:00Z,986,13.174,1
318,2021-11-02T23:15:00Z,986,13.174,1
319,2021-11-02T23:20:00Z,986,13.174,1
320,2021-11-02T23:25:00Z,987,13.174,1
321,2021-11-02T23:30:00Z,988,13.174,1
322,2021-11-02T23:35:00Z,986,13.174,1
323,2021-11-02T23:40:00Z,986,13.174,1
324,2021-11-02T23:45:00Z,987,13.174,1
325,2021-11-02T23:50:00Z,986,13.174,1
326,2021-11-02T23:55:00Z,985,13.174,1
327,2021-11-03T00:00:00Z,985,13.174,1
