OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y
-1,0,325,0.012782024439238,1,-157.980722200000002,21.497361099999999,-157.993333299999989,21.499444440000001
-1,0,323,0.017558770465260,2,-157.980722200000002,21.497361099999999,-157.996055600000005,21.488805559999999
-1,0,326,0.028832214022378,3,-157.980722200000002,21.497361099999999,-157.970833300000010,21.470277780000000
-1,0,362,0.030314724586111,4,-157.980722200000002,21.497361099999999,-158.008918099999988,21.508495450000002
-1,0,322,0.038263090796873,5,-157.980722200000002,21.497361099999999,-157.999099999999999,21.463800400000000
-1,0,367,0.048125264384203,6,-157.980722200000002,21.497361099999999,-157.936900000000009,21.477470000000000
-1,0,321,0.048411870631600,7,-157.980722200000002,21.497361099999999,-158.028060000000011,21.487220000000001
-1,0,327,0.055026011119559,8,-157.980722200000002,21.497361099999999,-157.966900000000010,21.444099399999999
-1,0,363,0.056907392321788,9,-157.980722200000002,21.497361099999999,-157.936694399999993,21.533416670000001
-1,0,364,0.069661260531871,10,-157.980722200000002,21.497361099999999,-157.921388900000011,21.533861110000000
-1,1,447,0.002759811890399,1,-159.379055599999987,22.178972219999999,-159.377757599999995,22.181407740000001
-1,1,446,0.037109949543066,2,-159.379055599999987,22.178972219999999,-159.404799999999994,22.205700000000000
-1,1,445,0.039742049054997,3,-159.379055599999987,22.178972219999999,-159.406200000000013,22.207999999999998
-1,1,450,0.041783814710849,4,-159.379055599999987,22.178972219999999,-159.337500000000006,22.183333330000000
-1,1,444,0.043348904552200,5,-159.379055599999987,22.178972219999999,-159.407201500000014,22.211940930000001
-1,1,530,0.046040221317129,6,-159.379055599999987,22.178972219999999,-159.421230000000008,22.197438999999999
-1,1,449,0.047121533700495,7,-159.379055599999987,22.178972219999999,-159.331940000000003,22.179720000000000
-1,1,448,0.056019400809783,8,-159.379055599999987,22.178972219999999,-159.323599999999999,22.186900000000001
-1,1,482,0.071696912116853,9,-159.379055599999987,22.178972219999999,-159.443000000000012,22.211400000000001
-1,1,433,0.077149892297218,10,-159.379055599999987,22.178972219999999,-159.385600000000011,22.102100400000001
-1,2,321,0.023606490882115,1,-158.049777799999987,21.496472220000001,-158.028060000000011,21.487220000000001
-1,2,359,0.032200273093393,2,-158.049777799999987,21.496472220000001,-158.081944399999998,21.495000000000001
-1,2,362,0.042591937543657,3,-158.049777799999987,21.496472220000001,-158.008918099999988,21.508495450000002
-1,2,323,0.054266494712609,4,-158.049777799999987,21.496472220000001,-157.996055600000005,21.488805559999999
-1,2,355,0.055208081867996,5,-158.049777799999987,21.496472220000001,-158.085583200000002,21.538494900000000
-1,2,325,0.056522700501464,6,-158.049777799999987,21.496472220000001,-157.993333299999989,21.499444440000001
-1,2,356,0.057473866225913,7,-158.049777799999987,21.496472220000001,-158.089300000000009,21.538200400000001
-1,2,357,0.057478858438289,8,-158.049777799999987,21.496472220000001,-158.089169999999996,21.538329999999998
-1,2,316,0.059759460532115,9,-158.049777799999987,21.496472220000001,-158.107222199999995,21.480000000000000
-1,2,322,0.060296660230491,10,-158.049777799999987,21.496472220000001,-157.999099999999999,21.463800400000000
-1,3,326,0.021787149766283,1,-157.970194399999997,21.492055560000001,-157.970833300000010,21.470277780000000
-1,3,325,0.024290002899630,2,-157.970194399999997,21.492055560000001,-157.993333299999989,21.499444440000001
-1,3,323,0.026064615198396,3,-157.970194399999997,21.492055560000001,-157.996055600000005,21.488805559999999
-1,3,367,0.036349080206696,4,-157.970194399999997,21.492055560000001,-157.936900000000009,21.477470000000000
