OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
-1,0,325,0.012782024439238,1
-1,0,323,0.017558770465260,2
-1,0,326,0.028832214022378,3
-1,0,362,0.030314724586111,4
-1,0,322,0.038263090796873,5
-1,0,367,0.048125264384203,6
-1,0,321,0.048411870631600,7
-1,0,327,0.055026011119559,8
-1,0,363,0.056907392321788,9
-1,0,364,0.069661260531871,10
-1,1,447,0.002759811890399,1
-1,1,446,0.037109949543066,2
-1,1,445,0.039742049054997,3
-1,1,450,0.041783814710849,4
-1,1,444,0.043348904552200,5
-1,1,530,0.046040221317129,6
-1,1,449,0.047121533700495,7
-1,1,448,0.056019400809783,8
-1,1,482,0.071696912116853,9
-1,1,433,0.077149892297218,10
-1,2,321,0.023606490882115,1
-1,2,359,0.032200273093393,2
-1,2,362,0.042591937543657,3
-1,2,323,0.054266494712609,4
-1,2,355,0.055208081867996,5
-1,2,325,0.056522700501464,6
-1,2,356,0.057473866225913,7
-1,2,357,0.057478858438289,8
-1,2,316,0.059759460532115,9
-1,2,322,0.060296660230491,10
-1,3,326,0.021787149766283,1
-1,3,325,0.024290002899630,2
-1,3,323,0.026064615198396,3
-1,3,367,0.036349080206696,4
-1,3,322,0.040421377734878,5
-1,3,362,0.042068930636533,6
-1,3,327,0.048069182989788,7
-1,3,363,0.053225852932878,8
-1,3,321,0.058067291170462,9
-1,3,364,0.064262592859696,10
-1,4,391,0.012802351107275,1
-1,4,400,0.027273378970887,2
-1,4,393,0.028557105759966,3
-1,4,392,0.030379763001050,4
-1,4,481,0.033407334524024,5
-1,4,401,0.042891356938195,6
-1,4,390,0.044124440223073,7
-1,4,389,0.044443827075119,8
-1,4,455,0.053972585633817,9
-1,4,402,0.058984624287565,10
-1,5,447,0.018968175707420,1
-1,5,446,0.031322994748267,2
-1,5,445,0.033178908963393,3
-1,5,444,0.035283500556438,4
-1,5,450,0.040125152820745,5
-1,5,449,0.046693918233527,6
-1,5,530,0.047299382881823,7
-1,5,448,0.052074657944144,8
-1,5,482,0.069935398762017,9
-1,5,438,0.088106739583802,10
-1,6,215,0.025294430390320,1
-1,6,216,0.025635284038887,2
-1,6,227,0.028139669590984,3
-1,6,459,0.037916931226900,4
-1,6,230,0.053153016847591,5
-1,6,229,0.053348883400124,6
-1,6,214,0.054118111570902,7
-1,6,217,0.057603884248279,8
-1,6,228,0.058739306666152,9
-1,6,458,0.059258990676517,10
-1,7,526,0.000063694583752,1
-1,7,294,0.000895349093943,2
-1,7,545,0.004398408803192,3
-1,7,544,0.007570052839976,4
