,station_id,date_min,date_max,mean_WL,median_WL,min_WL,max_WL
0,WL_EDD00214,2018-12-31 22:09:00,2021-03-25 08:27:00,1479.2794033188793,1466.0,1315.0,1907.0
1,WL_EDD00CC6,2018-12-31 22:09:00,2021-01-16 15:04:00,880.60403962669,816.0,658.0,1838.0
2,WL_EDD01FB0,2021-03-16 19:09:00,2021-03-25 08:04:00,3303.788678208299,3346.0,2078.0,4568.0
3,WL_EDD024F8,2018-12-31 22:09:00,2021-03-25 08:04:00,38160.843033598234,38151.0,-92938.0,59639.0
4,WL_EDD02A2A,2018-12-31 22:09:00,2021-03-25 08:04:00,96693.6972556687,97234.0,-74419.0,131071.0
5,WL_EDD0378E,2019-02-07 18:10:00,2021-03-25 08:05:00,3652.088229065775,3653.0,2616.0,4541.0
6,WL_EDD0395C,2018-12-31 22:10:00,2021-03-25 08:05:00,2780.6460053460055,2801.0,438.0,3266.0
7,WL_EDD0411E,2018-12-31 22:10:00,2021-03-25 08:05:00,2989.4354582370997,3219.0,966.0,131071.0
8,WL_EDD04FCC,2018-12-31 22:10:00,2021-03-25 08:05:00,2287.4224703250898,2317.0,1739.0,3625.0
9,WL_EDD05268,2018-12-31 22:10:00,2021-03-25 08:05:00,2395.125627291361,2559.0,1682.0,3657.0
10,WL_EDD05CBA,2018-12-31 22:45:00,2021-03-25 07:40:00,1832.2871795175479,1837.0,1548.0,2568.0
11,WL_EDD067F2,2018-12-31 22:45:00,2021-03-25 07:40:00,575.068372857923,611.0,-285.0,131071.0
12,WL_EDD06920,2018-12-31 22:45:00,2021-03-25 07:40:00,24750.877985162046,767.0,-454.0,131071.0
13,WL_EDD07484,2018-12-31 22:45:00,2021-03-25 07:40:00,23099.239433562612,23082.0,22800.0,24001.0
14,WL_EDD07A56,2018-12-31 22:16:00,2021-03-25 08:26:00,7363.49178302949,6913.0,3818.0,131071.0
15,WL_EDD08400,2018-12-31 22:16:00,2021-03-25 08:26:00,42689.60397882342,42667.0,41855.0,131071.0
16,WL_EDD08AD2,2019-03-21 17:16:00,2021-03-25 08:11:00,2700.7879479220364,2727.0,1244.0,4680.0
17,WL_EDD099A4,2019-09-17 19:17:00,2021-03-25 08:12:00,16002.14738096026,16002.0,1928.0,16198.0
18,WL_EDD0A2EC,2019-11-07 23:17:00,2021-03-25 08:24:00,2778.7274415783786,2735.0,-128576.0,128245.0
19,WL_EDD0AC3E,2020-01-27 23:17:00,2021-03-25 08:12:00,1710.8648714593085,1695.0,731.0,131071.0
20,WL_EDD0B19A,2020-01-28 21:17:00,2021-03-25 08:12:00,2284.445980430956,2295.0,-1477.0,2863.0
