above,station,index
Above On Index,Waiakalua,42.0640615724006,12.0
Above On Index,Waiakalua,13.462158203125,12.0
Above On Index,Waiakalua,56.529931648437504,12.0
Above On Index,Waiakalua,28.31700000000005,12.0
Above On Index,Waiakalua,17.916,12.0
Above On Index,Waiakalua,15.6748249469862,12.0
Above On Index,Waiakalua,63.459826140021,12.0
Above On Index,Waiakalua,27.37727793159485,12.0
Above On Index,Waiakalua,26.674,12.0
Above Off Index,Waiakalua,11.322000000000006,11.0
Above On Index,Waiakalua,24.528,12.0
Above On Index,Waiakalua,18.5421142578125,12.0
Above On Index,Waiakalua,55.85,12.0
Above On Index,Waiakalua,122.388302937255,12.0
Above On Index,Waiakalua,27.4319999999999,12.0
Above On Index,Waiakalua,38.1,12.0
Above On Index,Waiakalua,29.57399999999995,12.0
Above On Index,Waiakalua,13.084,12.0
Above On Index,Waiakalua,33.27300000000005,12.0
Above On Index,Waiakalua,20.08200000000005,12.0
Above On Index,Waiakalua,85.99399999999994,12.0
Above On Index,Waiakalua,50.03599999999995,12.0
Above On Index,Waiakalua,25.42399999999995,12.0
Above On Index,Waiakalua,21.994999999999997,12.0
Above On Index,Waiakalua,37.8459999999998,12.0
Above On Index,Waiakalua,63.5,12.0
Above On Index,Waiakalua,19.2264426932322,12.0
Above On Index,Waiakalua,65.9380000000001,12.0
Above On Index,Waiakalua,44.7040000000001,12.0
Above Off Index,Waiakalua,11.4300000000001,11.0
Above On Index,Waiakalua,31.14000000000005,12.0
Above On Index,Waiakalua,12.794825541372,12.0
Above On Index,Waiakalua,20.450000000000053,12.0
Above On Index,Waiakalua,30.4444989712352,12.0
Above On Index,Waiakalua,20.3199999999999,12.0
Above On Index,Waiakalua,37.338,12.0
Above On Index,Waiakalua,72.898,12.0
Above On Index,Waiakalua,45.57167205906825,12.0
Above On Index,Waiakalua,12.833271547772792,12.0
Above On Index,Waiakalua,17.69191097805939,12.0
Above Off Index,Waiakalua,11.820263426275075,11.0
Above On Index,Waiakalua,13.974308575068298,12.0
Above On Index,Waiakalua,14.78009490154522,12.0
Above On Index,Waiakalua,43.380223150258416,12.0
Above On Index,Waiakalua,16.59648322717878,12.0
Above On Index,Waiakalua,19.82205419375939,12.0
Above On Index,Waiakalua,41.4671151561006,12.0
Above On Index,Waiakalua,39.915799216910884,12.0
Above On Index,Waiakalua,16.148298371596052,12.0
Above Off Index,Waiakalua,11.84581188057687,11.0
Above On Index,Waiakalua,23.361458541629602,12.0
Above On Index,Waiakalua,13.426042038170575,12.0
Above On Index,Waiakalua,14.322646046743973,12.0
Above On Index,Waiakalua,13.369908443275037,12.0
Above On Index,Waiakalua,13.359387951763585,12.0
Above On Index,Waiakalua,15.626974319985163,12.0
Above On Index,Waiakalua,18.67593044962407,12.0
Above On Index,Waiakalua,23.787635540724544,12.0
Above On Index,Waiakalua,26.040043415579426,12.0
Above On Index,Waiakalua,12.16632651266903,12.0
Above On Index,Waiakalua,12.134466812011462,12.0
Above On Index,Waiakalua,18.58487937179998,12.0
Above On Index,Waiakalua,21.02983522883168,12.0
Above On Index,Waiakalua,24.57327329798814,12.0
Above On Index,Waiakalua,25.059524760593696,12.0
Above On Index,Waiakalua,18.91962786010384,12.0
Above On Index,Waiakalua,20.77725298005798,12.0
Above On Index,Waiakalua,17.280015453335597,12.0
Above On Index,Waiakalua,16.880318383022757,12.0
Above On Index,Waiakalua,17.44997188320419,12.0
Above On Index,Waiakalua,34.334807653874414,12.0
Above On Index,Waiakalua,19.252026518712206,12.0
Above On Index,Waiakalua,17.672169695444847,12.0
Above On Index,Waiakalua,14.025900986844784,12.0
Above On Index,Waiakalua,12.672867832003742,12.0
Above Off Index,Waiakalua,11.226409698209917,11.0
Above On Index,Waiakalua,17.77573197711194,12.0
Above On Index,Waiakalua,22.773161448654882,12.0
Above On Index,Waiakalua,13.523284253875127,12.0
Above On Index,Waiakalua,12.974187274069914,12.0
Above On Index,Waiakalua,38.98485627949698,12.0
Above On Index,Waiakalua,23.47768960483672,12.0
Above On Index,Waiakalua,12.3321012661389,12.0
Above On Index,Waiakalua,13.34986083103464,12.0
Above On Index,Waiakalua,12.959258902699801,12.0
Above On Index,Waiakalua,17.403447171914017,12.0
Above On Index,Waiakalua,15.47850637637419,12.0
Above On Index,Waiakalua,17.669861722967404,12.0
Above On Index,Waiakalua,58.376793039988456,12.0
Above On Index,Waiakalua,59.538554754891535,12.0
Above On Index,Waiakalua,17.051073278868312,12.0
Above On Index,Waiakalua,13.199360962594842,12.0
Above On Index,Waiakalua,40.88230040847888,12.0
Above On Index,Waiakalua,14.072385852514648,12.0
Above On Index,Waiakalua,12.314351850332894,12.0
Above Off Index,Waiakalua,11.28615274951759,11.0
Above On Index,Waiakalua,13.673622564553051,12.0
Above On Index,Waiakalua,28.6492691632016,12.0
Above On Index,Waiakalua,14.740562032361657,12.0
Above On Index,Waiakalua,15.386307444252083,12.0
Above On Index,Waiakalua,23.99907686610822,12.0
Above On Index,Waiakalua,116.44465657877592,12.0
Above On Index,Waiakalua,76.79799565958595,12.0
Above On Index,Waiakalua,35.0733457237999,12.0
Above On Index,Waiakalua,24.417536611075082,12.0
Above On Index,Waiakalua,15.497382673416823,12.0
Above On Index,Waiakalua,14.70261454410651,12.0
Above On Index,Waiakalua,14.758673185213627,12.0
Above On Index,Waiakalua,28.557244722484977,12.0
Above On Index,Waiakalua,16.8152306724813,12.0
Above On Index,Waiakalua,45.4654278582531,12.0
Above On Index,Waiakalua,19.91786350900636,12.0
Above On Index,Waiakalua,13.405118170875088,12.0
Above On Index,Waiakalua,12.101870607200144,12.0
Above On Index,HC&S #24,18.123314949837603,14.0
Above On Index,HC&S #24,17.6121937189769,14.0
Above On Index,HC&S #24,15.88063066434336,14.0
Above Off Index,HC&S #24,13.324838197209067,13.0
Above On Index,HC&S #24,15.481323304510202,14.0
Above On Index,HC&S #24,16.61627620820274,14.0
Above On Index,HC&S #24,26.74364659790052,14.0
Above On Index,HC&S #24,14.585690872338194,14.0
Above On Index,HC&S #24,23.6893998613414,14.0
Above On Index,HC&S #24,59.0528255323791,14.0
Above On Index,HC&S #24,22.960875074433055,14.0
Above On Index,HC&S #24,45.02267369789497,14.0
Above On Index,HC&S #24,34.539082189752975,14.0
Above On Index,HC&S #24,32.22649555218371,14.0
Above On Index,HC&S #24,26.4405175406852,14.0
Above On Index,HC&S #24,53.35873921257477,14.0
Above On Index,HC&S #24,30.818876042233224,14.0
Above On Index,HC&S #24,15.587193270389825,14.0
Above On Index,HC&S #24,17.32028594828652,14.0
Above On Index,HC&S #24,14.188687151947988,14.0
Above On Index,HC&S #24,36.25796834065102,14.0
Above On Index,HC&S #24,22.308766299411126,14.0
Above On Index,HC&S #24,20.359682912118096,14.0
Above On Index,HC&S #24,16.35526256679145,14.0
Above On Index,HC&S #24,15.67813484233479,14.0
Above On Index,HC&S #24,17.87154852841752,14.0
Above On Index,HC&S #24,28.53237893400246,14.0
Above On Index,HC&S #24,24.3871991591653,14.0
Above On Index,HC&S #24,19.431115179919807,14.0
Above On Index,HC&S #24,17.21536221175608,14.0
Above On Index,HC&S #24,50.50845956398156,14.0
Above On Index,HC&S #24,19.507721032606117,14.0
Above On Index,HC&S #24,140.716,14.0
Above On Index,HC&S #24,22.9921626175131,14.0
