,station_id,date_min,date_max,mean_WL,median_WL,min_WL,max_WL
0,WL_EDD00214,2018-12-31 22:09:00,2022-03-23 18:04:00,1484.2658800629451,1475.0,1315.0,1907.0
1,WL_EDD00CC6,2018-12-31 22:09:00,2022-03-23 18:04:00,878.6387092737559,829.0,-125738.0,131071.0
2,WL_EDD01FB0,2021-03-16 19:09:00,2021-07-27 18:04:00,2373.4873173224323,2032.0,1926.0,4568.0
3,WL_EDD024F8,2018-12-31 22:09:00,2022-03-23 18:04:00,38163.75528232064,38138.0,-92938.0,59639.0
4,WL_EDD02A2A,2018-12-31 22:09:00,2022-03-23 18:04:00,96783.42333738733,97217.0,-74419.0,131071.0
5,WL_EDD0378E,2019-02-07 18:10:00,2022-03-23 18:05:00,3670.233445119145,3670.0,2616.0,4541.0
6,WL_EDD0395C,2018-12-31 22:10:00,2022-03-23 18:05:00,2731.8061015969743,2768.0,438.0,131071.0
7,WL_EDD0411E,2018-12-31 22:10:00,2021-10-20 08:45:00,2595.368892523131,2744.0,248.0,131071.0
8,WL_EDD04FCC,2018-12-31 22:10:00,2022-03-23 18:05:00,2237.3223084179567,2261.0,1693.0,3625.0
9,WL_EDD05268,2018-12-31 22:10:00,2022-03-23 18:05:00,2464.3049782291587,2624.0,1682.0,3657.0
10,WL_EDD05CBA,2018-12-31 22:45:00,2022-03-23 18:40:00,3723.4079989013658,1836.0,753.0,131071.0
11,WL_EDD067F2,2018-12-31 22:45:00,2022-03-23 18:40:00,600.3163792800548,635.0,-285.0,131071.0
12,WL_EDD06920,2018-12-31 22:45:00,2019-03-21 02:10:00,60619.16100340311,60620.0,60578.0,60651.0
13,WL_EDD07484,2018-12-31 22:45:00,2022-03-23 18:40:00,23028.618859992806,22953.0,22800.0,24001.0
14,WL_EDD07A56,2018-12-31 22:16:00,2022-03-23 18:11:00,7610.305683069946,7573.5,3818.0,131071.0
15,WL_EDD08400,2018-12-31 22:16:00,2019-07-13 16:16:00,42641.18760500672,42603.0,41907.0,43034.0
16,WL_EDD08AD2,2019-03-21 17:16:00,2021-08-25 22:20:00,5159.913726505556,2668.0,463.0,131071.0
17,WL_EDD099A4,2019-09-17 19:17:00,2022-03-23 18:12:00,16002.14952913094,16002.0,1928.0,16367.0
18,WL_EDD0A2EC,2019-11-07 23:17:00,2022-03-23 18:12:00,2834.6970803972276,2758.0,-128576.0,128245.0
19,WL_EDD0AC3E,2020-01-27 23:17:00,2022-03-23 18:12:00,1672.1078649511464,1680.0,719.0,131071.0
20,WL_EDD0B19A,2020-01-28 21:17:00,2022-03-23 18:41:00,2187.1531641721654,2221.0,-1477.0,2863.0
21,WL_EDD0BF48,2021-10-13 00:17:00,2022-03-23 18:12:00,1445.0123741474504,1425.0,1023.0,83209.0
22,WL_EDD0C70A,2021-10-11 23:17:00,2022-03-23 18:12:00,1798.2203929527443,1150.0,-38.0,131071.0
23,WL_EDD0C9D8,2022-01-13 22:18:00,2022-03-23 18:13:00,4131.92541730792,375.0,-32601.0,131071.0
24,WL_EDD0D47C,2022-01-18 22:18:00,2022-03-23 18:13:00,1762.8884731551188,1613.0,1475.0,131071.0
