state_id,Yr_Modified_Completed
HA-0040,1970
HA-0042,1957
HA-0043,1965
HA-0049,1920
HA-0051,
HA-0122,1975
HA-0123,1910
HA-0131,1975
HA-0136,1985
HA-0147,1970
HA-0157,1940
KA-0002,1925
KA-0003,1930
KA-0005,1905
KA-0006,1951
KA-0007,1954
KA-0008,1958
KA-0009,1950
KA-0010,1920
KA-0011,1920
KA-0012,1910
KA-0014,1920
KA-0015,1910
KA-0016,1920
KA-0024,1920
KA-0030,1890
KA-0060,1920
KA-0061,1920
KA-0062,1920
KA-0063,1910
KA-0065,1920
KA-0067,1920
KA-0098,1931
KA-0099,1906
KA-0100,1901
KA-0101,1910
KA-0102,1902
KA-0103,1901
KA-0104,1902
KA-0105,1901
KA-0106,1902
KA-0107,1915
KA-0108,1910
KA-0109,1910
KA-0110,1915
KA-0111,1910
KA-0112,1913
KA-0113,1915
KA-0114,1916
KA-0115,1910
KA-0116,1901
KA-0117,1902
KA-0118,1954
KA-0119,1910
KA-0120,1914
KA-0121,1920
KA-0145,1987
KA-0146,
KA-0155,2007
MA-0046,1956
MA-0047,1971
MA-0048,1918
MA-0054,1926
MA-0056,1918
MA-0057,1918
MA-0058,1918
MA-0059,1926
MA-0068,1913
MA-0069,1917
MA-0070,1913
MA-0071,1913
MA-0072,1917
MA-0073,1917
MA-0074,1917
MA-0075,1917
MA-0076,1910
MA-0077,1926
MA-0078,1917
MA-0079,1917
MA-0080,1917
MA-0081,1917
MA-0082,1917
MA-0083,1908
MA-0084,1916
MA-0085,1917
MA-0086,1920
MA-0087,1917
MA-0088,1918
MA-0089,1917
MA-0090,1967
MA-0091,1924
MA-0092,1902
MA-0094,1885
MA-0095,1904
MA-0096,1904
MA-0126,1984
MA-0127,1985
MA-0128,1988
MA-0130,1995
MA-0132,1985
MA-0133,1985
MA-0134,1998
MA-0138,1990
MA-0139,1997
MA-0140,
MA-0141,2003
MA-0142,2006
MA-0143,1984
MA-0144,1995
MA-0150,
MA-0151,
MA-0152,1980
MA-0153,1989
MO-0041,1969
OA-0001,1910
OA-0017,1906
OA-0018,1910
OA-0021,1920
OA-0022,1912
OA-0023,1915
OA-0025,1925
OA-0124,1980
OA-0129,1993
OA-0137,1916
OA-0149,1966
OA-0154,1905
OA-0156,1919
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
