,file_id,mean,minimum,maximum,median,standard_deviation,dlrnid
0,USGS_16094150,19.446041416839396,17.378993055555554,22.52125,19.532135416666666,1.0228509143389408,KA-0030
1,USGS_16206600,5.888019186592112,5.874160839160839,6.112048611111111,5.8873904961719665,0.01092660311929207,OA-0156
2,USGS_16208400,15.241237744920316,12.659895833333332,20.153541666666666,17.219270833333333,2.2316306582239664,OA-0025
3,USGS_16210000,69.60120718610706,56.730625,81.97045454545454,68.67647887323943,5.095888094628304,OA-0017
4,USGS_213133158014201,40.51263042384855,27.52,46.2185546875,41.61454861111111,4.332794952360711,OA-0022
5,USGS_213308158035601,22.99834792311104,19.58,26.44965277777778,23.028489583333332,1.1220130432225184,OA-0023
6,USGS_213320158061401,17.30097216761853,13.296354166666667,20.81052083333333,17.265989583333333,1.351317230072295,OA-0021
7,EDD00214,14.679861388019441,12.640577889447236,17.61,14.694929822076329,0.891986611961758,KA-0099
8,EDD00CC6,8.619553108651404,6.923026315789474,15.967288732394366,8.264055677339357,1.4780438488890608,KA-0010
9,EDD01162,-2.3166962044721946,-2.6433333333333335,-1.8601711491442545,-2.3219607843137253,0.14837573029516482,MA-0073
10,EDD024F8,381.7305194691209,378.22730113636356,387.6219512195122,381.37906166219835,0.915509308670168,OA-0154
11,EDD02A2A,967.3293704884668,947.576640625,982.168397887324,970.9272074697756,10.308369359373996,OA-0018
12,EDD0378E,36.91082555777832,32.8764857881137,41.024613333333335,36.92032124359385,1.1838194114750755,KA-0012
13,EDD0395C,26.381370002414634,20.746753246753247,30.419195171026157,26.52332409972299,2.1085969303330088,KA-0060
14,EDD0411E,22.033631252228794,-8.088230958230957,41.88080229226361,20.5655525606469,10.891055870952156,KA-0103
15,EDD04FCC,22.620224598269303,17.402230576441102,28.94099025974026,22.765273159144893,2.147036621145133,KA-0104
16,EDD05268,23.840279155859246,16.82,36.70816725978648,25.83089356447748,4.27307433133385,KA-0112
17,EDD05CBA,18.300976522168042,15.928378378378378,22.803060200668895,18.28301851433732,1.175897847734163,KA-0117
18,EDD067F2,6.4868649146564055,-2.826925207756233,13.789916943521595,6.60383495145631,1.6673847870251826,KA-0024
19,EDD06920,4.248711013536121,-4.477015706806283,11.939851024208565,5.998310991957104,4.1722993283107055,KA-0119
20,EDD07484,3.655063466166657,3.1047906976744186,8.658954372623574,3.6750651561294028,0.3937617534193371,KA-0014
21,EDD07A56,76.22628810245762,38.26,100.85758445945946,77.6490640356873,17.495848932661314,KA-0098
22,EDD08400,14.959366406583484,10.49,21.154959612277867,15.03705463182898,1.1298309608696087,KA-0121
23,EDD08AD2,23.248880804158198,4.914127423822714,43.58019801980198,24.78309090909091,7.492078331187329,KA-0120
24,EDD099A4,160.0280976711412,159.22362017804156,160.8049329758713,160.01802808181668,0.08938475289827486,OA-0124
25,EDD0A2EC,26.007812412949995,15.38031168831169,38.761805555555554,26.50152354570637,4.184592753189706,OA-0001
26,EDD0AC3E,15.941025858051812,9.48823056300268,21.35451948051948,16.101144529291368,1.998744475493199,KA-0015
27,EDD0B19A,20.095320481445665,9.17159090909091,28.337699530516435,20.32479381443299,3.4766950099375746,KA-0016
28,EDD0BF48,14.270221476122282,13.805318559556788,17.576398305084744,14.268001731261396,0.16969512911360476,MA-0094
29,EDD0C70A,11.495230789199251,11.001922077922078,12.103123425692697,11.491638141809291,0.09485145631065597,MA-0095
30,EDD0C9D8,3.694875372307788,3.2061290322580644,4.565408163265305,3.701651967005076,0.09757626050255508,MA-0096
31,EDD0D47C,16.13808584526255,15.902988826815644,16.312049861495844,16.143066758456442,0.06791132421528814,MA-0069
32,EDD0DAAE,10.619033036240644,9.637928388746802,15.677465940054496,9.987704950306417,1.441696289579225,MA-0068
