,file_id,mean,minimum,maximum,median,standard_deviation,dlrnid
0,USGS_16094150,19.435654470750706,17.37670138888889,23.33165644171779,19.52479166666667,1.0341832569944205,KA-0030
1,USGS_16206600,5.898560405295756,5.873125,7.526215277777778,5.8878034796362195,0.11640494148239261,OA-0156
2,USGS_16208400,15.253259895833061,12.659895833333332,20.44125,17.2165625,2.2301255573607435,OA-0025
3,USGS_16210000,69.57215948563831,56.80322916666666,82.29041666666667,68.60838541666666,5.094586972920798,OA-0017
4,USGS_213133158014201,40.43748439683585,25.203958333333333,46.215990990990996,41.50545138888889,4.396461106360693,OA-0022
5,USGS_213308158035601,23.009775800272944,19.58,28.97899305555556,23.04081597222222,1.1437094730482804,OA-0023
6,USGS_213320158061401,17.279771823740987,12.903,20.836666666666666,17.254618055555554,1.3612416868824966,OA-0021
7,EDD00214,14.675310868125623,12.249085872576178,19.41,14.68924205378973,0.9841037268528824,KA-0099
8,EDD00CC6,8.98337633082659,6.791260683760684,17.494054054054054,8.274738235864223,2.2935297790822387,KA-0010
9,EDD01162,-2.311717155409437,-2.643324396782842,6.178315018315018,-2.3391960061443933,0.3333576201599039,MA-0073
10,EDD024F8,382.07232032119316,381.0641057934509,394.50568221070813,381.4025576542568,1.9422815063713061,OA-0154
11,EDD02A2A,967.1940479433524,947.1946112600536,982.1846835443038,970.7854004163562,10.276928485109035,OA-0018
12,EDD0378E,36.94076358213658,26.481432664756447,44.352832699619775,36.95314285714286,1.4250122041916358,KA-0012
13,EDD0395C,26.34910122586817,20.79535064935065,30.423387096774192,26.49064935064935,2.11190603271851,KA-0060
14,EDD0411E,21.692277925367932,-15.165239294710329,42.001911357340724,20.39728152520664,11.126795085156225,KA-0103
15,EDD04FCC,22.64136740837072,17.400727272727273,39.17649122807018,22.78808132756047,2.187944168175881,KA-0104
16,EDD05268,26.262352667982512,22.012444987775062,37.738468013468015,26.33164420485175,1.506104002786323,KA-0112
17,EDD05CBA,18.31370018388413,15.936155844155845,63.186666666666675,18.23923100873772,1.501241800797281,KA-0117
18,EDD067F2,6.671811909086156,4.039238095238095,15.811789819376026,6.6350538528138525,1.178657896616465,KA-0024
19,EDD06920,3.907163552439652,-4.4051889168765745,11.160407079646017,5.9013591184647956,4.3776585224319176,KA-0119
20,EDD07484,3.681938592732735,3.2628150134048255,19.806810035842297,3.634658753709199,1.0331711521132398,KA-0014
21,EDD07A56,75.77073202385618,38.26,100.87265202702703,77.11929362880886,17.72044028621944,KA-0098
22,EDD08400,15.17886668914116,10.49,29.45222780569514,15.00909216252916,1.9914955582743243,KA-0121
23,EDD08AD2,22.872140758633055,4.897025,43.61021897810219,24.623465130044217,7.798506244405225,KA-0120
24,EDD099A4,160.03703082085147,159.90267647058823,163.4626616915423,160.01947403773391,0.11580038780396265,OA-0124
25,EDD0A2EC,26.03104687057129,15.378739946380698,44.34206239168111,26.47632707774799,4.319537477140661,OA-0001
26,EDD0AC3E,15.977756711467038,7.841146131805157,34.33888601036269,16.14195826796953,2.205541576745918,KA-0015
27,EDD0B19A,19.966186085886832,1.2805555555555554,28.022518703241897,20.25823056300268,3.6665288137830507,KA-0016
28,EDD0BF48,14.347626633996338,12.394050925925924,35.838940397350996,14.26969773299748,1.1211846698992443,MA-0094
29,EDD0C70A,11.51195559457049,10.958557457212715,20.13490486257928,11.494893488977194,0.3399877102444922,MA-0095
30,EDD0C9D8,3.7058374430563514,3.402166246851386,9.088739946380697,3.6974256319176666,0.3102556378385343,MA-0096
31,EDD0D47C,16.133085141051865,14.808307692307691,16.298504155124654,16.141051344743275,0.08629216358449882,MA-0069
32,EDD0DAAE,10.760557592873852,9.607324675324676,17.552198391420912,9.991556479691873,1.6859711107819673,MA-0068
