,dlnrid,response_rating
0,KA-0030,NA
1,OA-0156,NA
2,OA-0025,NA
3,OA-0017,NA
4,OA-0022,NA
5,OA-0023,NA
6,OA-0021,NA
7,KA-0099,HIGH
8,KA-0010,HIGH
9,MA-0073,LOW
10,OA-0154,HIGH
11,OA-0018,HIGH
12,KA-0012,MEDIUM
13,KA-0060,MEDIUM
14,KA-0103,LOW
15,KA-0104,HIGH
16,KA-0112,HIGH
17,KA-0117,HIGH
18,KA-0024,HIGH
19,KA-0119,HIGH
20,KA-0014,HIGH
21,KA-0098,HIGH
22,KA-0121,HIGH
23,KA-0120,HIGH
24,OA-0124,LOW
25,OA-0001,HIGH
26,KA-0015,HIGH
27,KA-0016,LOW
28,MA-0094,HIGH
29,MA-0095,HIGH
30,MA-0096,LOW
31,MA-0069,LOW
32,MA-0068,MEDIUM
