date,bv,data,txtype
2018-12-31T22:45:00Z,12.472,60631,1.0
2018-12-31T22:50:00Z,12.472,60630,1.0
2018-12-31T22:55:00Z,12.472,60630,1.0
2018-12-31T23:00:00Z,12.472,60630,1.0
2018-12-31T23:05:00Z,12.472,60628,1.0
2018-12-31T23:10:00Z,12.472,60627,1.0
2018-12-31T23:15:00Z,12.472,60627,1.0
2018-12-31T23:20:00Z,12.472,60627,1.0
2018-12-31T23:25:00Z,12.472,60626,1.0
2018-12-31T23:30:00Z,12.472,60626,1.0
2018-12-31T23:35:00Z,12.472,60626,1.0
2018-12-31T23:40:00Z,12.472,60626,1.0
2018-12-31T23:45:00Z,12.472,60626,1.0
2018-12-31T23:50:00Z,12.472,60626,1.0
2018-12-31T23:55:00Z,12.472,60626,1.0
2019-01-01T00:00:00Z,12.472,60626,1.0
2019-01-01T00:05:00Z,12.472,60627,1.0
2019-01-01T00:06:00Z,12.706,60626,6.0
2019-01-01T00:10:00Z,12.472,60626,1.0
2019-01-01T00:12:00Z,12.706,60626,6.0
2019-01-01T00:15:00Z,12.472,60626,1.0
2019-01-01T00:18:00Z,13.174,60627,6.0
2019-01-01T00:20:00Z,12.472,60627,1.0
2019-01-01T00:25:00Z,12.472,60626,1.0
2019-01-01T00:25:00Z,12.706,60626,6.0
2019-01-01T00:30:00Z,12.472,60627,1.0
2019-01-01T00:32:00Z,12.706,60627,6.0
2019-01-01T00:35:00Z,12.472,60627,1.0
2019-01-01T00:40:00Z,12.472,60626,1.0
2019-01-01T00:41:00Z,12.706,60627,6.0
2019-01-01T00:45:00Z,12.472,60627,1.0
2019-01-01T00:45:00Z,12.472,60627,6.0
2019-01-01T00:45:00Z,12.238,60627,1.0
2019-01-01T00:50:00Z,12.238,60625,1.0
2019-01-01T00:50:00Z,12.472,60625,1.0
2019-01-01T00:51:00Z,12.706,60625,6.0
2019-01-01T00:55:00Z,12.472,60625,1.0
2019-01-01T00:55:00Z,12.238,60625,1.0
2019-01-01T00:58:00Z,12.472,60626,6.0
2019-01-01T01:00:00Z,12.238,60626,1.0
2019-01-01T01:00:00Z,12.472,60626,1.0
2019-01-01T01:05:00Z,12.472,60625,1.0
2019-01-01T01:05:00Z,12.238,60625,1.0
2019-01-01T01:05:00Z,12.706,60625,6.0
2019-01-01T01:10:00Z,12.472,60625,1.0
2019-01-01T01:10:00Z,12.238,60625,1.0
2019-01-01T01:11:00Z,12.706,60625,6.0
2019-01-01T01:15:00Z,12.238,60625,1.0
2019-01-01T01:15:00Z,12.472,60625,1.0
2019-01-01T01:18:00Z,12.94,60625,6.0
2019-01-01T01:20:00Z,12.472,60625,1.0
2019-01-01T01:20:00Z,12.238,60625,1.0
2019-01-01T01:24:00Z,12.706,60625,6.0
2019-01-01T01:25:00Z,12.472,60625,1.0
2019-01-01T01:25:00Z,12.238,60625,1.0
2019-01-01T01:30:00Z,12.238,60625,1.0
2019-01-01T01:30:00Z,12.472,60625,1.0
2019-01-01T01:31:00Z,12.472,60625,6.0
2019-01-01T01:35:00Z,12.472,60625,1.0
2019-01-01T01:35:00Z,12.238,60625,1.0
2019-01-01T01:40:00Z,12.472,60625,1.0
2019-01-01T01:40:00Z,12.238,60625,1.0
2019-01-01T01:42:00Z,12.706,60625,6.0
2019-01-01T01:44:00Z,12.706,60625,6.0
2019-01-01T01:45:00Z,12.238,60625,1.0
2019-01-01T01:50:00Z,12.238,60625,1.0
2019-01-01T01:51:00Z,12.706,60625,6.0
2019-01-01T01:55:00Z,12.238,60625,1.0
2019-01-01T01:57:00Z,12.706,60625,6.0
2019-01-01T02:00:00Z,12.238,60625,1.0
2019-01-01T02:04:00Z,12.472,60625,6.0
2019-01-01T02:05:00Z,12.238,60625,1.0
2019-01-01T02:10:00Z,12.472,60625,6.0
2019-01-01T02:10:00Z,12.238,60625,1.0
2019-01-01T02:15:00Z,12.238,60625,1.0
2019-01-01T02:17:00Z,12.472,60625,6.0
2019-01-01T02:20:00Z,12.238,60625,1.0
2019-01-01T02:24:00Z,12.472,60625,6.0
2019-01-01T02:25:00Z,12.238,60625,1.0
2019-01-01T02:30:00Z,12.238,60625,1.0
2019-01-01T02:32:00Z,12.472,60625,6.0
2019-01-01T02:35:00Z,12.238,60625,1.0
2019-01-01T02:40:00Z,12.238,60625,1.0
2019-01-01T02:41:00Z,12.472,60625,6.0
2019-01-01T02:44:00Z,12.238,60625,6.0
2019-01-01T02:45:00Z,12.238,60625,1.0
2019-01-01T02:50:00Z,12.238,60625,1.0
2019-01-01T02:50:00Z,12.238,60625,6.0
2019-01-01T02:55:00Z,12.238,60625,1.0
2019-01-01T02:57:00Z,12.238,60625,6.0
2019-01-01T03:00:00Z,12.238,60625,1.0
2019-01-01T03:03:00Z,12.238,60625,6.0
2019-01-01T03:05:00Z,12.238,60625,1.0
2019-01-01T03:10:00Z,12.238,60625,6.0
2019-01-01T03:10:00Z,12.238,60625,1.0
2019-01-01T03:15:00Z,12.238,60625,1.0
2019-01-01T03:17:00Z,12.238,60625,6.0
2019-01-01T03:20:00Z,12.238,60625,1.0
2019-01-01T03:24:00Z,12.238,60625,6.0
2019-01-01T03:25:00Z,12.238,60625,1.0
2019-01-01T03:30:00Z,12.238,60625,1.0
2019-01-01T03:31:00Z,12.238,60625,6.0
2019-01-01T03:35:00Z,12.238,60625,1.0
2019-01-01T03:36:00Z,12.238,60625,6.0
2019-01-01T03:40:00Z,12.238,60625,1.0
2019-01-01T03:43:00Z,12.238,60625,6.0
2019-01-01T03:45:00Z,12.238,60625,1.0
2019-01-01T03:50:00Z,12.238,60625,1.0
2019-01-01T03:50:00Z,12.238,60625,6.0
2019-01-01T03:55:00Z,12.238,60625,1.0
2019-01-01T03:56:00Z,12.238,60625,6.0
2019-01-01T04:00:00Z,12.238,60625,1.0
2019-01-01T04:03:00Z,12.238,60625,6.0
2019-01-01T04:05:00Z,12.238,60625,1.0
2019-01-01T04:09:00Z,12.238,60625,6.0
2019-01-01T04:10:00Z,12.238,60625,1.0
2019-01-01T04:15:00Z,12.238,60625,1.0
2019-01-01T04:16:00Z,12.238,60625,6.0
2019-01-01T04:20:00Z,12.238,60625,1.0
2019-01-01T04:23:00Z,12.238,60625,6.0
2019-01-01T04:25:00Z,12.238,60625,1.0
